"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Melvin Mastil","2000-02-19","2","0","Stade Nyonnais"
"","2","DF","Aïssa Mandi","1991-10-22","119","8","Lille"
"","3","DF","Achref Abada","1999-06-15","9","1","USM Alger"
"","4","DF","Mohamed Amine Tougai","2000-01-22","30","2","Espérance de Tunis"
"","5","DF","Zineddine Belaïd","1999-03-20","18","1","JS Kabylie"
"","6","MF","Ramiz Zerrouki","1998-05-26","53","3","Twente"
"","7","FW","Riyad Mahrez (Captain)","1991-02-21","116","38","Al-Ahli"
"","8","MF","Houssem Aouar","1998-06-30","22","6","Al-Ittihad"
"","9","FW","Amine Gouiri","2000-02-16","23","10","Marseille"
"","10","MF","Farès Chaïbi","2002-11-28","31","3","Eintracht Frankfurt"
"","11","FW","Anis Hadj Moussa","2002-02-11","15","2","Feyenoord"
"","12","FW","Nadhir Benbouali","2000-04-17","4","1","Győri ETO"
"","13","DF","Jaouen Hadjam","2003-03-26","18","3","Young Boys"
"","14","MF","Hicham Boudaoui","1999-09-23","34","0","Nice"
"","15","DF","Rayan Aït-Nouri","2001-06-06","30","0","Manchester City"
"","16","GK","Oussama Benbot","1994-10-11","5","0","USM Alger"
"","17","DF","Rafik Belghali","2002-06-07","13","1","Hellas Verona"
"","18","FW","Mohamed Amoura","2000-05-09","47","19","VfL Wolfsburg"
"","19","MF","Nabil Bentaleb","1994-11-24","60","6","Lille"
"","20","FW","Adil Boulbina","2003-05-02","12","6","Al-Duhail"
"","21","DF","Ramy Bensebaini","1995-04-16","82","9","Borussia Dortmund"
"","22","MF","Ibrahim Maza","2005-11-24","17","2","Bayer Leverkusen"
"","23","GK","Luca Zidane","1998-05-13","7","0","Granada"
"","24","MF","Yacine Titraoui","2003-07-26","5","0","Charleroi"
"","25","FW","Farès Ghedjemis","2002-09-06","1","1","Frosinone"
"","26","DF","Samir Chergui","1999-02-06","5","0","Paris FC"
