"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Juan Musso","1994-05-06","4","0","Atlético Madrid"
"","2","DF","Marcos Senesi","1997-05-10","3","0","Bournemouth"
"","3","DF","Nicolás Tagliafico","1992-08-31","76","1","Lyon"
"","4","DF","Gonzalo Montiel","1997-01-01","39","2","River Plate"
"","5","MF","Leandro Paredes","1994-06-29","77","5","Boca Juniors"
"","6","DF","Lisandro Martínez","1998-01-18","28","1","Manchester United"
"","7","MF","Rodrigo De Paul","1994-05-24","87","2","Inter Miami CF"
"","8","MF","Valentín Barco","2004-07-23","4","2","Strasbourg"
"","9","FW","Julián Alvarez","2000-01-31","51","14","Atlético Madrid"
"","10","FW","Lionel Messi (Captain)","1987-06-24","199","117","Inter Miami CF"
"","11","MF","Giovani Lo Celso","1996-04-09","67","4","Real Betis"
"","12","GK","Gerónimo Rulli","1992-05-20","8","0","Marseille"
"","13","DF","Cristian Romero","1998-04-27","51","3","Tottenham Hotspur"
"","14","MF","Exequiel Palacios","1998-10-05","40","0","Bayer Leverkusen"
"","15","MF","Nicolás González","1998-04-06","51","6","Atlético Madrid"
"","16","FW","Thiago Almada","2001-04-26","16","5","Atlético Madrid"
"","17","FW","Giuliano Simeone","2002-12-18","13","2","Atlético Madrid"
"","18","FW","Nico Paz","2004-09-08","9","1","Como"
"","19","DF","Nicolás Otamendi","1988-02-12","132","8","Benfica"
"","20","MF","Alexis Mac Allister","1998-12-24","46","6","Liverpool"
"","21","FW","José Manuel López","2000-12-06","5","0","Palmeiras"
"","22","FW","Lautaro Martínez","1997-08-22","77","37","Inter Milan"
"","23","GK","Emiliano Martínez","1992-09-02","59","0","Aston Villa"
"","24","MF","Enzo Fernández","2001-01-17","42","6","Chelsea"
"","25","DF","Facundo Medina","1999-05-28","9","0","Marseille"
"","26","DF","Nahuel Molina","1998-04-06","58","1","Atlético Madrid"
