"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Mathew Ryan (Captain)","1992-04-08","104","0","Levante"
"","2","DF","Miloš Degenek","1994-04-28","57","1","APOEL"
"","3","DF","Alessandro Circati","2003-10-10","13","1","Parma"
"","4","DF","Jacob Italiano","2001-07-30","5","0","Grazer AK"
"","5","DF","Jordan Bos","2002-10-29","27","4","Feyenoord"
"","6","DF","Jason Geria","1993-05-10","14","0","Albirex Niigata"
"","7","FW","Mathew Leckie","1991-02-04","80","14","Melbourne City"
"","8","MF","Connor Metcalfe","1999-11-05","36","1","FC St. Pauli"
"","9","FW","Mohamed Touré","2004-03-26","10","2","Norwich City"
"","10","FW","Ajdin Hrustic","1996-07-05","37","4","Heracles Almelo"
"","11","FW","Awer Mabil","1995-09-15","38","10","Castellón"
"","12","GK","Paul Izzo","1995-01-06","4","0","Randers"
"","13","MF","Aiden O'Neill","1998-07-04","31","0","New York City FC"
"","14","MF","Cammy Devlin","1998-06-07","5","0","Heart of Midlothian"
"","15","DF","Kai Trewin","2001-05-18","6","0","New York City FC"
"","16","DF","Aziz Behich","1990-12-16","84","3","Melbourne City"
"","17","FW","Nestory Irankunda","2006-02-09","15","5","Watford"
"","18","GK","Patrick Beach","2003-08-06","2","0","Melbourne City"
"","19","DF","Harry Souttar","1998-10-22","38","11","Leicester City"
"","20","FW","Cristian Volpato","2003-11-15","1","0","Sassuolo"
"","21","DF","Cameron Burgess","1995-10-21","27","0","Swansea City"
"","22","MF","Jackson Irvine","1993-03-07","82","14","FC St. Pauli"
"","23","FW","Nishan Velupillay","2001-05-07","7","3","Melbourne Victory"
"","24","MF","Paul Okon-Engstler","2005-01-24","6","0","Sydney FC"
"","25","DF","Lucas Herrington","2007-09-05","4","0","Colorado Rapids"
"","26","FW","Tete Yengi","2000-11-28","1","1","Machida Zelvia"
