"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Alexander Schlager","1996-02-01","26","0","Red Bull Salzburg"
"","2","DF","David Affengruber","2001-03-19","1","0","Elche"
"","3","DF","Kevin Danso","1998-09-19","32","0","Tottenham Hotspur"
"","4","MF","Xaver Schlager","1997-09-28","51","4","RB Leipzig"
"","5","DF","Stefan Posch","1997-05-14","52","5","Mainz 05"
"","6","MF","Nicolas Seiwald","2001-05-04","47","1","RB Leipzig"
"","7","FW","Marko Arnautović","1989-04-19","133","47","Red Star Belgrade"
"","8","DF","David Alaba (Captain)","1992-06-24","113","15","Real Madrid"
"","9","MF","Marcel Sabitzer","1994-03-17","98","26","Borussia Dortmund"
"","10","MF","Florian Grillitsch","1995-08-07","58","1","Braga"
"","11","FW","Michael Gregoritsch","1994-04-18","75","24","FC Augsburg"
"","12","GK","Florian Wiegele","2001-03-21","1","0","Viktoria Plzeň"
"","13","GK","Patrick Pentz","1997-01-02","18","0","Brøndby"
"","14","FW","Saša Kalajdžić","1997-07-07","22","4","LASK"
"","15","DF","Philipp Lienhart","1996-07-11","41","3","SC Freiburg"
"","16","DF","Phillipp Mwene","1994-01-29","30","0","Mainz 05"
"","17","MF","Carney Chukwuemeka","2003-10-20","3","1","Borussia Dortmund"
"","18","MF","Romano Schmid","2000-01-27","34","3","Werder Bremen"
"","19","MF","Dejan Ljubičić","1997-10-08","9","1","Schalke 04"
"","20","MF","Konrad Laimer","1997-05-27","57","7","Bayern Munich"
"","21","FW","Patrick Wimmer","2001-05-30","30","1","VfL Wolfsburg"
"","22","MF","Alexander Prass","2001-05-26","19","0","TSG Hoffenheim"
"","23","DF","Marco Friedl","1998-03-16","11","0","Werder Bremen"
"","24","MF","Paul Wanner","2005-12-23","3","0","PSV Eindhoven"
"","25","DF","Michael Svoboda","1998-10-15","4","0","Venezia"
"","26","MF","Alessandro Schöpf","1994-02-07","35","6","Wolfsberger AC"
