"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Thibaut Courtois","1992-05-11","109","0","Real Madrid"
"","2","DF","Zeno Debast","2003-10-24","26","1","Sporting CP"
"","3","DF","Arthur Theate","2000-05-25","33","1","Eintracht Frankfurt"
"","4","DF","Brandon Mechele","1993-01-28","9","1","Club Brugge"
"","5","DF","Maxim De Cuyper","2000-12-22","19","4","Brighton & Hove Albion"
"","6","MF","Axel Witsel","1989-01-12","138","12","Girona"
"","7","MF","Kevin De Bruyne","1991-06-28","119","37","Napoli"
"","8","MF","Youri Tielemans (Captain)","1997-05-07","85","13","Aston Villa"
"","9","FW","Romelu Lukaku","1993-05-13","126","90","Napoli"
"","10","FW","Leandro Trossard","1994-12-04","51","12","Arsenal"
"","11","FW","Jérémy Doku","2002-05-27","43","7","Manchester City"
"","12","GK","Senne Lammens","2002-07-07","2","0","Manchester United"
"","13","GK","Mike Penders","2005-07-31","0","0","Strasbourg"
"","14","FW","Dodi Lukébakio","1997-09-24","30","6","Benfica"
"","15","DF","Thomas Meunier","1991-09-12","80","10","Lille"
"","16","DF","Koni De Winter","2002-06-12","8","0","Milan"
"","17","FW","Charles De Ketelaere","2001-03-10","30","6","Atalanta"
"","18","DF","Joaquin Seys","2005-03-28","5","0","Club Brugge"
"","19","MF","Diego Moreira","2004-08-06","3","0","Strasbourg"
"","20","MF","Hans Vanaken","1992-08-24","34","7","Club Brugge"
"","21","DF","Timothy Castagne","1995-12-05","63","2","Fulham"
"","22","MF","Alexis Saelemaekers","1999-06-27","24","2","Milan"
"","23","MF","Nicolas Raskin","2001-02-23","13","2","Rangers"
"","24","MF","Amadou Onana","2001-08-16","29","1","Aston Villa"
"","25","DF","Nathan Ngoy","2003-06-10","4","0","Lille"
"","26","FW","Matias Fernandez-Pardo","2005-02-03","2","0","Lille"
