"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Nikola Vasilj","1995-12-02","26","0","FC St. Pauli"
"","2","DF","Nihad Mujakić","1998-04-15","12","1","Gaziantep"
"","3","DF","Dennis Hadžikadunić","1998-07-09","32","0","Sampdoria"
"","4","DF","Tarik Muharemović","2003-02-28","14","1","Sassuolo"
"","5","DF","Sead Kolašinac","1993-06-20","65","0","Atalanta"
"","6","MF","Benjamin Tahirović","2003-03-03","28","2","Brøndby"
"","7","DF","Amar Dedić","2002-08-18","28","1","Benfica"
"","8","MF","Armin Gigović","2002-04-06","20","1","Young Boys"
"","9","FW","Samed Baždar","2004-01-31","13","1","Jagiellonia Białystok"
"","10","FW","Ermedin Demirović","1998-03-25","40","4","VfB Stuttgart"
"","11","FW","Edin Džeko (Captain)","1986-03-17","148","73","Schalke 04"
"","12","GK","Mladen Jurkas","2007-10-07","0","0","Borac Banja Luka"
"","13","MF","Ivan Bašić","2002-04-30","17","0","Astana"
"","14","MF","Ivan Šunjić","1996-10-09","11","0","Pafos"
"","15","MF","Amar Memić","2001-01-20","13","1","Viktoria Plzeň"
"","16","MF","Amir Hadžiahmetović","1997-03-08","36","0","Hull City"
"","17","MF","Dženis Burnić","1998-05-22","20","0","Karlsruher SC"
"","18","DF","Nikola Katić","1996-10-10","17","2","Schalke 04"
"","19","FW","Kerim Alajbegović","2007-09-21","10","1","Red Bull Salzburg"
"","20","FW","Esmir Bajraktarević","2005-03-10","16","1","PSV Eindhoven"
"","21","DF","Stjepan Radeljić","1997-09-05","5","0","Rijeka"
"","22","GK","Martin Zlomislić","1998-08-16","3","0","Rijeka"
"","23","FW","Haris Tabaković","1994-06-20","10","4","Borussia Mönchengladbach"
"","24","DF","Arjan Malić","2005-08-28","8","0","Sturm Graz"
"","25","FW","Jovo Lukić","1998-11-28","3","0","Universitatea Cluj"
"","26","MF","Ermin Mahmić","2005-03-14","2","0","Slovan Liberec"
