"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Alisson","1992-10-02","78","0","Liverpool"
"","2","MF","Éderson Silva","1999-07-07","3","0","Atalanta"
"","3","DF","Gabriel Magalhães","1997-12-19","17","1","Arsenal"
"","4","DF","Marquinhos (Captain)","1994-05-14","105","7","Paris Saint-Germain"
"","5","MF","Casemiro","1992-02-23","86","9","Manchester United"
"","6","DF","Alex Sandro","1991-01-26","45","2","Flamengo"
"","7","FW","Vinícius Júnior","2000-07-12","49","9","Real Madrid"
"","8","MF","Bruno Guimarães","1997-11-16","43","3","Newcastle United"
"","9","FW","Matheus Cunha","1999-05-27","23","1","Manchester United"
"","10","FW","Neymar","1992-02-05","128","79","Santos"
"","11","FW","Raphinha","1996-12-14","39","11","Barcelona"
"","12","GK","Weverton","1987-12-13","11","0","Grêmio"
"","13","DF","Danilo Luiz","1991-07-15","70","1","Flamengo"
"","14","DF","Bremer","1997-03-18","8","1","Juventus"
"","15","DF","Léo Pereira","1996-01-31","4","0","Flamengo"
"","16","DF","Douglas Santos","1994-03-22","7","0","Zenit Saint Petersburg"
"","17","MF","Fabinho","1993-10-23","33","0","Al-Ittihad"
"","18","MF","Danilo Santos","2001-04-29","4","2","Botafogo"
"","19","FW","Endrick","2006-07-21","17","4","Lyon"
"","20","MF","Lucas Paquetá","1997-08-27","63","13","Flamengo"
"","21","FW","Luiz Henrique","2001-01-02","15","2","Zenit Saint Petersburg"
"","22","FW","Gabriel Martinelli","2001-06-18","23","4","Arsenal"
"","23","GK","Ederson Moraes","1993-08-17","32","0","Fenerbahçe"
"","24","DF","Roger Ibañez","1998-11-23","7","0","Al-Ahli"
"","25","FW","Igor Thiago","2001-06-26","4","2","Brentford"
"","26","FW","Rayan","2006-08-03","2","1","Bournemouth"
