"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Vozinha","1986-06-03","90","0","Chaves"
"","2","DF","Stopira","1988-05-20","61","4","Torreense"
"","3","DF","Diney","1995-01-17","32","2","Al Bataeh"
"","4","DF","Pico","1992-06-17","45","0","Shamrock Rovers"
"","5","DF","Logan Costa","2001-04-01","28","0","Villarreal"
"","6","MF","Kevin Pina","1997-01-27","31","3","Krasnodar"
"","7","MF","Jovane Cabral","1998-06-14","29","3","Estrela Amadora"
"","8","MF","João Paulo","1998-05-26","41","1","FCSB"
"","9","FW","Gilson Benchimol","2001-12-29","21","6","Akron Tolyatti"
"","10","MF","Jamiro Monteiro","1993-11-23","55","5","PEC Zwolle"
"","11","MF","Garry Rodrigues","1990-11-27","61","10","Apollon Limassol"
"","12","GK","Márcio Rosa","1997-02-23","11","0","Montana"
"","13","DF","Sidny Lopes Cabral","2002-09-18","11","3","Benfica"
"","14","MF","Deroy Duarte","1999-07-04","33","0","Ludogorets Razgrad"
"","15","MF","Laros Duarte","1997-02-28","20","1","Puskás Akadémia"
"","16","MF","Yannick Semedo","1995-12-29","11","1","Farense"
"","17","MF","Willy Semedo","1994-04-27","38","3","Omonia"
"","18","MF","Telmo Arcanjo","2001-06-21","16","1","Vitória de Guimarães"
"","19","FW","Dailon Livramento","2001-05-04","22","7","Casa Pia"
"","20","FW","Ryan Mendes (Captain)","1990-01-08","96","22","Iğdır"
"","21","MF","Nuno da Costa","1991-02-10","9","2","İstanbul Başakşehir"
"","22","DF","Steven Moreira","1994-08-13","20","0","Columbus Crew"
"","23","GK","CJ dos Santos","2000-08-24","1","0","San Diego FC"
"","24","DF","Wagner Pina","2002-11-03","14","0","Trabzonspor"
"","25","DF","Kelvin Pires","2000-06-05","6","1","SJK"
"","26","MF","Hélio Varela","2002-05-03","21","0","Maccabi Tel Aviv"
