"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Dayne St. Clair","1997-05-09","20","0","Inter Miami CF"
"","2","DF","Alistair Johnston","1998-10-08","58","1","Celtic"
"","3","DF","Alfie Jones","1997-10-07","2","0","Middlesbrough"
"","4","DF","Luc de Fougerolles","2005-10-12","13","0","Dender EH"
"","5","DF","Joel Waterman","1996-01-24","17","0","Chicago Fire FC"
"","6","MF","Mathieu Choinière","1999-02-07","23","0","Los Angeles FC"
"","7","MF","Stephen Eustáquio","1996-12-21","56","4","Los Angeles FC"
"","8","MF","Ismaël Koné","2002-06-16","40","4","Sassuolo"
"","9","FW","Cyle Larin","1995-04-17","90","30","Southampton"
"","10","FW","Jonathan David","2000-01-14","77","39","Juventus"
"","11","MF","Liam Millar","1999-09-27","41","1","Hull City"
"","12","FW","Tani Oluwaseyi","2000-05-15","24","2","Villarreal"
"","13","DF","Derek Cornelius","1997-11-25","44","1","Rangers"
"","14","MF","Jacob Shaffelburg","1999-11-26","31","6","Los Angeles FC"
"","15","DF","Moïse Bombito","2000-03-30","20","0","Nice"
"","16","GK","Maxime Crépeau","1994-05-11","32","0","Orlando City SC"
"","17","FW","Tajon Buchanan","1999-02-08","60","8","Villarreal"
"","18","GK","Owen Goodman","2003-11-27","0","0","Barnsley"
"","19","DF","Alphonso Davies (Captain)","2000-11-02","58","15","Bayern Munich"
"","20","FW","Ali Ahmed","2000-10-10","24","1","Norwich City"
"","21","MF","Jonathan Osorio","1992-06-12","90","10","Toronto FC"
"","22","DF","Richie Laryea","1995-01-07","75","1","Toronto FC"
"","23","DF","Niko Sigur","2003-09-09","19","2","Hajduk Split"
"","24","FW","Promise David","2001-07-03","10","3","Union Saint-Gilloise"
"","25","MF","Nathan Saliba","2004-02-07","15","2","Anderlecht"
"","26","FW","Jayden Nelson","2002-09-26","14","3","Austin FC"
