"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","David Ospina","1988-08-31","130","0","Atlético Nacional"
"","2","DF","Daniel Muñoz","1996-05-26","46","3","Crystal Palace"
"","3","DF","Jhon Lucumí","1998-06-26","37","1","Bologna"
"","4","DF","Santiago Arias","1992-01-13","68","0","Independiente"
"","5","MF","Kevin Castaño","2000-09-29","25","0","River Plate"
"","6","MF","Richard Ríos","2000-06-02","32","2","Benfica"
"","7","FW","Luis Díaz","1997-01-13","74","22","Bayern Munich"
"","8","MF","Jorge Carrascal","1998-05-25","24","2","Flamengo"
"","9","FW","Jhon Córdoba","1993-05-11","21","6","Krasnodar"
"","10","MF","James Rodríguez (Captain)","1991-07-12","126","31","Minnesota United FC"
"","11","MF","Jhon Arias","1997-09-21","38","6","Palmeiras"
"","12","GK","Camilo Vargas","1989-03-09","42","0","Atlas"
"","13","DF","Yerry Mina","1994-09-23","54","8","Cagliari"
"","14","DF","Gustavo Puerta","2003-07-23","6","1","Racing Santander"
"","15","MF","Juan Portilla","1998-09-12","10","0","Athletico Paranaense"
"","16","MF","Jefferson Lerma","1994-10-25","65","5","Crystal Palace"
"","17","DF","Johan Mojica","1992-08-21","45","1","Mallorca"
"","18","DF","Willer Ditta","1998-01-23","5","0","Cruz Azul"
"","19","FW","Cucho Hernández","1999-04-20","9","2","Real Betis"
"","20","MF","Juan Fernando Quintero","1993-01-18","49","6","River Plate"
"","21","FW","Jaminton Campaz","2000-05-24","10","1","Rosario Central"
"","22","DF","Deiver Machado","1993-09-02","15","0","Nantes"
"","23","DF","Davinson Sánchez","1996-06-12","79","4","Galatasaray"
"","24","GK","Álvaro Montero","1995-03-29","12","0","Vélez Sarsfield"
"","25","FW","Luis Suárez","1997-12-02","12","5","Sporting CP"
"","26","FW","Andrés Gómez","2002-09-12","8","2","Vasco da Gama"
