"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Yahia Fofana","2000-08-21","35","0","Çaykur Rizespor"
"","2","DF","Ousmane Diomande","2003-12-04","15","1","Sporting CP"
"","3","DF","Ghislain Konan","1995-12-27","54","0","Gil Vicente"
"","4","MF","Jean Michaël Seri","1991-07-19","65","4","Maribor"
"","5","DF","Wilfried Singo","2000-12-25","34","1","Galatasaray"
"","6","MF","Seko Fofana","1995-05-07","33","7","Porto"
"","7","DF","Odilon Kossounou","2001-01-04","36","0","Atalanta"
"","8","MF","Franck Kessié (Captain)","1996-12-19","102","15","Al-Ahli"
"","9","FW","Ange-Yoan Bonny","2003-10-25","1","0","Inter Milan"
"","10","FW","Simon Adingra","2002-01-01","29","5","Monaco"
"","11","FW","Yan Diomande","2006-11-14","10","3","RB Leipzig"
"","12","FW","Elye Wahi","2003-01-02","2","0","Nice"
"","13","DF","Christopher Opéri","1997-04-29","12","0","İstanbul Başakşehir"
"","14","FW","Oumar Diakité","2003-12-20","30","6","Cercle Brugge"
"","15","FW","Amad Diallo","2002-07-11","19","6","Manchester United"
"","16","GK","Mohamed Koné","2002-03-07","0","0","Charleroi"
"","17","DF","Guéla Doué","2002-10-17","20","3","Strasbourg"
"","18","MF","Ibrahim Sangaré","1997-12-02","57","12","Nottingham Forest"
"","19","FW","Nicolas Pépé","1995-05-29","56","12","Villarreal"
"","20","DF","Emmanuel Agbadou","1997-06-17","20","2","Beşiktaş"
"","21","DF","Evan Ndicka","1999-08-20","28","0","Roma"
"","22","FW","Evann Guessand","2001-07-01","21","4","Crystal Palace"
"","23","GK","Alban Lafont","1999-01-23","4","0","Panathinaikos"
"","24","FW","Bazoumana Touré","2006-03-02","6","2","TSG Hoffenheim"
"","25","MF","Parfait Guiagon","2001-02-22","5","0","Charleroi"
"","26","MF","Christ Inao Oulaï","2006-04-06","9","0","Trabzonspor"
