"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Dominik Livaković","1995-01-09","75","0","Dinamo Zagreb"
"","2","DF","Josip Stanišić","2000-04-02","31","0","Bayern Munich"
"","3","DF","Marin Pongračić","1997-09-11","20","0","Fiorentina"
"","4","DF","Joško Gvardiol","2002-01-23","48","4","Manchester City"
"","5","DF","Duje Ćaleta-Car","1996-09-17","38","1","Real Sociedad"
"","6","DF","Josip Šutalo","2000-02-28","33","0","Ajax"
"","7","MF","Nikola Moro","1998-03-12","10","0","Bologna"
"","8","MF","Mateo Kovačić","1994-05-06","113","5","Manchester City"
"","9","FW","Andrej Kramarić","1991-06-19","116","36","TSG Hoffenheim"
"","10","MF","Luka Modrić (Captain)","1985-09-09","198","29","Milan"
"","11","FW","Ante Budimir","1991-07-22","38","6","Osasuna"
"","12","GK","Ivor Pandur","2000-03-25","0","0","Hull City"
"","13","MF","Nikola Vlašić","1997-10-04","63","10","Torino"
"","14","FW","Ivan Perišić","1989-02-02","154","38","PSV Eindhoven"
"","15","MF","Mario Pašalić","1995-02-09","85","12","Atalanta"
"","16","MF","Martin Baturina","2003-02-16","19","1","Como"
"","17","MF","Petar Sučić","2003-10-25","17","1","Inter Milan"
"","18","DF","Kristijan Jakić","1997-05-14","17","2","FC Augsburg"
"","19","MF","Toni Fruk","2001-03-09","7","1","Rijeka"
"","20","FW","Igor Matanović","2003-03-31","9","2","SC Freiburg"
"","21","MF","Luka Sučić","2002-09-08","21","1","Real Sociedad"
"","22","DF","Luka Vušković","2007-02-24","5","1","Hamburger SV"
"","23","GK","Dominik Kotarski","2000-02-10","4","0","Copenhagen"
"","24","FW","Marco Pašalić","2000-09-14","15","1","Orlando City SC"
"","25","DF","Martin Erlić","1998-01-24","13","1","Midtjylland"
"","26","FW","Petar Musa","1998-03-04","11","1","FC Dallas"
