"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Eloy Room","1989-02-06","71","0","Miami FC"
"","2","DF","Shurandy Sambo","2001-08-19","8","0","Sparta Rotterdam"
"","3","DF","Juriën Gaari","1993-12-23","60","1","Abha"
"","4","DF","Roshon van Eijma","1998-06-09","28","1","RKC Waalwijk"
"","5","DF","Sherel Floranus","1998-08-23","28","0","PEC Zwolle"
"","6","MF","Godfried Roemeratoe","1999-08-19","28","1","RKC Waalwijk"
"","7","MF","Juninho Bacuna","1997-08-07","49","15","Volendam"
"","8","MF","Livano Comenencia","2004-02-03","20","2","Zürich"
"","9","FW","Jürgen Locadia","1993-11-07","13","1","Miami FC"
"","10","MF","Leandro Bacuna (Captain)","1991-08-21","72","16","Iğdır"
"","11","FW","Jeremy Antonisse","2002-03-29","27","4","Kifisia"
"","12","FW","Sontje Hansen","2002-05-18","6","1","Middlesbrough"
"","13","FW","Tyrese Noslin","2002-09-11","7","1","Telstar"
"","14","FW","Kenji Gorré","1994-09-29","38","6","Maccabi Haifa"
"","15","MF","Ar'jany Martha","2003-09-04","9","2","Rotherham United"
"","16","FW","Jearl Margaritha","2000-04-10","22","5","Beveren"
"","17","FW","Brandley Kuwas","1992-09-19","35","2","Volendam"
"","18","DF","Armando Obispo","1999-03-05","6","0","PSV Eindhoven"
"","19","FW","Gervane Kastaneer","1996-06-09","29","9","Terengganu"
"","20","DF","Joshua Brenet","1994-03-20","18","2","Kayserispor"
"","21","MF","Tahith Chong","1999-12-04","6","3","Sheffield United"
"","22","MF","Kevin Felida","1999-11-11","19","1","Den Bosch"
"","23","DF","Riechedly Bazoer","1996-10-12","5","0","Konyaspor"
"","24","DF","Deveron Fonville","2003-05-16","2","0","NEC"
"","25","GK","Tyrick Bodak","2002-05-15","4","0","Telstar"
"","26","GK","Trevor Doornbusch","1999-07-06","8","0","VVV-Venlo"
