"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Matěj Kovář","2000-05-17","20","0","PSV Eindhoven"
"","2","DF","David Zima","2000-11-08","25","1","Slavia Prague"
"","3","DF","Tomáš Holeš","1993-03-31","41","2","Slavia Prague"
"","4","DF","Robin Hranáč","2000-01-29","14","1","TSG Hoffenheim"
"","5","DF","Vladimír Coufal","1992-08-22","62","2","TSG Hoffenheim"
"","6","DF","Štěpán Chaloupek","2003-03-08","5","0","Slavia Prague"
"","7","DF","Ladislav Krejčí (Captain)","1999-04-20","27","5","Wolverhampton Wanderers"
"","8","MF","Vladimír Darida","1990-08-08","79","8","Hradec Králové"
"","9","FW","Adam Hložek","2002-07-25","43","5","TSG Hoffenheim"
"","10","FW","Patrik Schick","1996-01-24","53","26","Bayer Leverkusen"
"","11","FW","Jan Kuchta","1997-01-08","31","3","Sparta Prague"
"","12","MF","Lukáš Červ","2001-04-10","17","2","Viktoria Plzeň"
"","13","FW","Mojmír Chytil","1999-04-29","22","6","Slavia Prague"
"","14","DF","David Jurásek","2000-08-07","18","1","Slavia Prague"
"","15","FW","Pavel Šulc","2000-12-29","21","5","Lyon"
"","16","GK","Jindřich Staněk","1996-04-27","14","0","Slavia Prague"
"","17","MF","Lukáš Provod","1996-10-23","38","3","Slavia Prague"
"","18","MF","Michal Sadílek","1999-05-31","35","1","Slavia Prague"
"","19","FW","Tomáš Chorý","1995-01-26","22","7","Slavia Prague"
"","20","DF","Jaroslav Zelený","1992-08-20","23","0","Sparta Prague"
"","21","DF","David Douděra","1998-05-31","17","2","Slavia Prague"
"","22","MF","Tomáš Souček","1995-02-27","90","17","West Ham United"
"","23","GK","Lukáš Horníček","2002-07-13","1","0","Braga"
"","24","MF","Alexandr Sojka","2003-04-02","2","0","Viktoria Plzeň"
"","25","MF","Hugo Sochůrek","2008-06-07","1","0","Sparta Prague"
"","26","FW","Denis Višinský","2003-03-21","2","1","Viktoria Plzeň"
