"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Lionel Mpasi","1994-08-01","29","0","Le Havre"
"","2","DF","Aaron Wan-Bissaka","1997-11-26","12","0","West Ham United"
"","3","DF","Steve Kapuadi","1998-04-30","4","0","Widzew Łódź"
"","4","DF","Axel Tuanzebe","1997-11-14","14","1","Burnley"
"","5","DF","Dylan Batubinsika","1996-02-15","14","1","AEL"
"","6","MF","Ngal'ayel Mukau","2004-11-03","14","0","Lille"
"","7","MF","Nathanaël Mbuku","2002-03-16","19","2","Montpellier"
"","8","MF","Samuel Moutoussamy","1996-08-12","58","0","Atromitos"
"","9","FW","Brian Cipenga","1998-03-11","8","0","Castellón"
"","10","MF","Théo Bongonda","1995-11-20","38","7","Spartak Moscow"
"","11","FW","Gaël Kakuta","1991-06-21","31","5","AEL"
"","12","DF","Joris Kayembe","1994-08-08","26","1","Genk"
"","13","FW","Meschak Elia","1997-08-06","69","12","Alanyaspor"
"","14","MF","Noah Sadiki","2004-12-17","20","0","Sunderland"
"","15","MF","Aaron Tshibola","1995-01-02","17","1","Kilmarnock"
"","16","GK","Timothy Fayulu","1999-07-24","3","0","Noah"
"","17","FW","Cédric Bakambu","1991-04-11","70","21","Real Betis"
"","18","MF","Charles Pickel","1997-05-15","34","1","Espanyol"
"","19","FW","Fiston Mayele","1994-06-24","37","6","Pyramids"
"","20","FW","Yoane Wissa","1996-09-03","38","9","Newcastle United"
"","21","GK","Matthieu Epolo","2005-01-15","1","0","Standard Liège"
"","22","DF","Chancel Mbemba (Captain)","1994-08-08","109","7","Lille"
"","23","FW","Simon Banza","1996-08-13","15","2","Al Jazira"
"","24","DF","Gédéon Kalulu","1997-08-29","28","0","Aris Limassol"
"","25","MF","Edo Kayembe","1998-06-03","43","2","Watford"
"","26","DF","Arthur Masuaku","1993-11-07","45","4","Lens"
