"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Hernán Galíndez","1987-03-30","35","0","Huracán"
"","2","DF","Félix Torres","1997-01-11","49","5","Internacional"
"","3","DF","Piero Hincapié","2002-01-09","52","3","Arsenal"
"","4","DF","Joel Ordóñez","2004-04-21","17","0","Club Brugge"
"","5","MF","Jordy Alcívar","1999-08-05","11","1","Independiente del Valle"
"","6","DF","Willian Pacho","2001-10-16","34","2","Paris Saint-Germain"
"","7","DF","Pervis Estupiñán","1998-01-21","54","5","Milan"
"","8","MF","Anthony Valencia","2003-07-21","3","1","Antwerp"
"","9","FW","John Yeboah","2000-06-23","23","3","Venezia"
"","10","MF","Kendry Páez","2007-05-04","26","2","River Plate"
"","11","FW","Kevin Rodríguez","2000-03-04","31","2","Union Saint-Gilloise"
"","12","GK","Moisés Ramírez","2000-09-09","7","0","Kifisia"
"","13","FW","Enner Valencia (Captain)","1989-11-04","105","49","Pachuca"
"","14","MF","Alan Minda","2003-05-14","20","2","Atlético Mineiro"
"","15","MF","Pedro Vite","2002-03-09","17","1","Pumas UNAM"
"","16","FW","Jordy Caicedo","1997-11-18","20","4","Huracán"
"","17","DF","Ángelo Preciado","1998-02-18","55","0","Atlético Mineiro"
"","18","MF","Denil Castillo","2004-03-24","5","0","Midtjylland"
"","19","FW","Gonzalo Plata","2000-11-01","50","8","Flamengo"
"","20","FW","Nilson Angulo","2003-06-19","14","2","Sunderland"
"","21","MF","Alan Franco","1998-08-21","58","1","Atlético Mineiro"
"","22","GK","Gonzalo Valle","1996-02-28","4","0","LDU Quito"
"","23","MF","Moisés Caicedo","2001-11-02","61","3","Chelsea"
"","24","FW","Jeremy Arévalo","2005-03-19","4","0","VfB Stuttgart"
"","25","DF","Jackson Porozo","2000-08-04","10","1","Tijuana"
"","26","DF","Yaimar Medina","2004-11-05","6","0","Genk"
