"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Mohamed El Shenawy","1988-12-18","76","0","Al Ahly"
"","2","DF","Yasser Ibrahim","1993-02-10","17","1","Al Ahly"
"","3","DF","Mohamed Hany","1996-02-02","42","0","Al Ahly"
"","4","DF","Hossam Abdelmaguid","2001-04-30","13","0","Zamalek"
"","5","DF","Ramy Rabia","1993-05-20","44","5","Al Ain"
"","6","DF","Mohamed Abdelmonem","1999-02-01","36","3","Nice"
"","7","FW","Trézéguet","1994-10-01","96","23","Al Ahly"
"","8","MF","Emam Ashour","1998-02-20","29","0","Al Ahly"
"","9","FW","Hamza Abdelkarim","2008-01-01","2","0","Barcelona B"
"","10","FW","Mohamed Salah (Captain)","1992-06-15","116","67","Liverpool"
"","11","MF","Mostafa Ziko","1997-04-27","2","2","Pyramids"
"","12","FW","Haissem Hassan","2002-02-08","4","0","Oviedo"
"","13","DF","Ahmed Fatouh","1998-03-22","39","1","Zamalek"
"","14","MF","Hamdy Fathy","1994-09-29","63","3","Al-Wakrah"
"","15","DF","Karim Hafez","1996-03-12","9","0","Pyramids"
"","16","GK","El Mahdy Soliman","1987-06-08","0","0","Zamalek"
"","17","MF","Mohanad Lasheen","1996-05-29","23","0","Pyramids"
"","18","MF","Nabil Emad","1996-04-06","12","0","Al-Najma"
"","19","MF","Marwan Attia","1998-08-01","34","1","Al Ahly"
"","20","FW","Ibrahim Adel","2001-04-23","24","3","Nordsjælland"
"","21","MF","Mahmoud Saber","2001-07-30","15","1","ZED"
"","22","FW","Omar Marmoush","1999-02-07","50","11","Manchester City"
"","23","GK","Mostafa Shobeir","2000-05-15","9","0","Al Ahly"
"","24","DF","Tarek Alaa","2002-01-05","3","0","ZED"
"","25","FW","Zizo","1996-01-10","63","5","Al Ahly"
"","26","GK","Mohamed Alaa","1999-01-01","0","0","El Gouna"
