"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Jordan Pickford","1994-03-07","84","0","Everton"
"","2","DF","Ezri Konsa","1997-10-23","20","1","Aston Villa"
"","3","DF","Nico O'Reilly","2005-03-21","5","0","Manchester City"
"","4","MF","Declan Rice","1999-01-14","73","7","Arsenal"
"","5","DF","John Stones","1994-05-28","89","3","Manchester City"
"","6","DF","Marc Guéhi","2000-07-13","29","1","Manchester City"
"","7","FW","Bukayo Saka","2001-09-05","49","14","Arsenal"
"","8","MF","Elliot Anderson","2002-11-06","9","0","Nottingham Forest"
"","9","FW","Harry Kane (Captain)","1993-07-28","114","79","Bayern Munich"
"","10","MF","Jude Bellingham","2003-06-29","48","6","Real Madrid"
"","11","FW","Marcus Rashford","1997-10-31","72","18","Barcelona"
"","12","DF","Trevoh Chalobah","1999-07-05","1","0","Chelsea"
"","13","GK","Dean Henderson","1997-03-12","5","0","Crystal Palace"
"","14","MF","Jordan Henderson","1990-06-17","90","3","Brentford"
"","15","DF","Dan Burn","1992-05-09","8","0","Newcastle United"
"","16","MF","Kobbie Mainoo","2005-04-19","14","0","Manchester United"
"","17","MF","Morgan Rogers","2002-07-26","15","1","Aston Villa"
"","18","FW","Anthony Gordon","2001-02-24","19","3","Newcastle United"
"","19","FW","Ollie Watkins","1995-12-30","22","7","Aston Villa"
"","20","FW","Noni Madueke","2002-03-10","11","1","Arsenal"
"","21","MF","Eberechi Eze","1998-06-29","17","3","Arsenal"
"","22","FW","Ivan Toney","1996-03-16","8","1","Al-Ahli"
"","23","GK","James Trafford","2002-10-10","2","0","Manchester City"
"","24","DF","Reece James","1999-12-08","24","1","Chelsea"
"","25","DF","Djed Spence","2000-08-09","6","0","Tottenham Hotspur"
"","26","DF","Jarell Quansah","2003-01-29","3","0","Bayer Leverkusen"
