"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Brice Samba","1994-04-25","4","0","Rennes"
"","2","DF","Malo Gusto","2003-05-19","11","0","Chelsea"
"","3","DF","Lucas Digne","1993-07-20","58","0","Aston Villa"
"","4","DF","Dayot Upamecano","1998-10-27","38","2","Bayern Munich"
"","5","DF","Jules Koundé","1998-11-12","48","0","Barcelona"
"","6","MF","Manu Koné","2001-05-17","14","0","Roma"
"","7","FW","Ousmane Dembélé","1997-05-15","59","7","Paris Saint-Germain"
"","8","MF","Aurélien Tchouaméni","2000-01-27","46","3","Real Madrid"
"","9","FW","Marcus Thuram","1997-08-06","34","3","Inter Milan"
"","10","FW","Kylian Mbappé (Captain)","1998-12-20","98","56","Real Madrid"
"","11","FW","Michael Olise","2001-12-12","17","7","Bayern Munich"
"","12","FW","Bradley Barcola","2002-09-02","20","3","Paris Saint-Germain"
"","13","MF","N'Golo Kanté","1991-03-29","69","2","Fenerbahçe"
"","14","MF","Adrien Rabiot","1995-04-03","59","7","Milan"
"","15","DF","Ibrahima Konaté","1999-05-25","28","0","Liverpool"
"","16","GK","Mike Maignan","1995-07-03","40","0","Milan"
"","17","DF","William Saliba","2001-03-24","32","0","Arsenal"
"","18","MF","Warren Zaïre-Emery","2006-03-08","11","1","Paris Saint-Germain"
"","19","DF","Théo Hernandez","1997-10-06","44","2","Al-Hilal"
"","20","FW","Désiré Doué","2005-06-03","7","2","Paris Saint-Germain"
"","21","DF","Lucas Hernandez","1996-02-14","42","0","Paris Saint-Germain"
"","22","FW","Jean-Philippe Mateta","1997-06-28","4","2","Crystal Palace"
"","23","GK","Robin Risser","2004-12-02","0","0","Lens"
"","24","MF","Rayan Cherki","2003-08-17","7","2","Manchester City"
"","25","MF","Maghnes Akliouche","2002-02-25","9","1","Monaco"
"","26","DF","Maxence Lacroix","2000-04-06","4","0","Crystal Palace"
