"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Manuel Neuer","1986-03-27","124","0","Bayern Munich"
"","2","DF","Antonio Rüdiger","1993-03-03","82","3","Real Madrid"
"","3","DF","Waldemar Anton","1996-07-20","13","0","Borussia Dortmund"
"","4","DF","Jonathan Tah","1996-02-11","47","1","Bayern Munich"
"","5","MF","Aleksandar Pavlović","2004-05-03","11","1","Bayern Munich"
"","6","DF","Joshua Kimmich (Captain)","1995-02-08","110","10","Bayern Munich"
"","7","FW","Kai Havertz","1999-06-11","58","22","Arsenal"
"","8","MF","Leon Goretzka","1995-02-06","70","15","Bayern Munich"
"","9","MF","Jamie Leweling","2001-02-26","5","1","VfB Stuttgart"
"","10","MF","Jamal Musiala","2003-02-26","42","9","Bayern Munich"
"","11","FW","Nick Woltemade","2002-02-14","11","4","Newcastle United"
"","12","GK","Oliver Baumann","1990-06-02","13","0","TSG Hoffenheim"
"","13","MF","Pascal Groß","1991-06-15","18","1","Brighton & Hove Albion"
"","14","FW","Maximilian Beier","2002-10-17","9","0","Borussia Dortmund"
"","15","DF","Nico Schlotterbeck","1999-12-01","27","0","Borussia Dortmund"
"","16","MF","Angelo Stiller","2001-04-04","8","0","VfB Stuttgart"
"","17","MF","Florian Wirtz","2003-05-03","41","11","Liverpool"
"","18","DF","Nathaniel Brown","2003-06-16","5","0","Eintracht Frankfurt"
"","19","MF","Leroy Sané","1996-01-11","76","17","Galatasaray"
"","20","MF","Nadiem Amiri","1996-10-27","11","1","Mainz 05"
"","21","GK","Alexander Nübel","1996-09-30","3","0","VfB Stuttgart"
"","22","DF","David Raum","1998-04-22","37","1","RB Leipzig"
"","23","MF","Felix Nmecha","2000-10-10","8","1","Borussia Dortmund"
"","24","DF","Malick Thiaw","2001-08-08","5","0","Newcastle United"
"","25","MF","Assan Ouédraogo","2006-05-09","1","1","RB Leipzig"
"","26","FW","Deniz Undav","1996-07-19","9","6","VfB Stuttgart"
