"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Lawrence Ati-Zigi","1996-11-29","29","0","St. Gallen"
"","2","DF","Alidu Seidu","2000-06-04","24","1","Rennes"
"","3","MF","Caleb Yirenkyi","2006-01-15","11","1","Nordsjælland"
"","4","DF","Jonas Adjetey","2003-12-13","10","0","VfL Wolfsburg"
"","5","MF","Thomas Partey","1993-06-13","57","15","Villarreal"
"","6","DF","Abdul Mumin","1998-06-06","5","0","Rayo Vallecano"
"","7","FW","Abdul Fatawu","2004-03-08","28","3","Leicester City"
"","8","MF","Kwasi Sibo","1998-06-24","8","0","Oviedo"
"","9","FW","Jordan Ayew (Captain)","1991-09-11","120","34","Leicester City"
"","10","FW","Brandon Thomas-Asante","1998-12-29","8","1","Coventry City"
"","11","MF","Antoine Semenyo","2000-01-07","34","3","Manchester City"
"","12","GK","Joseph Anang","2000-06-08","1","0","St Patrick's Athletic"
"","13","FW","Christopher Bonsu Baah","2004-12-14","9","0","Al-Qadsiah"
"","14","DF","Gideon Mensah","1998-07-18","40","0","Auxerre"
"","15","MF","Elisha Owusu","1997-11-07","20","0","Auxerre"
"","16","GK","Benjamin Asare","1992-07-13","11","0","Hearts of Oak"
"","17","DF","Abdul Rahman Baba","1994-07-02","51","1","PAOK"
"","18","DF","Jerome Opoku","1998-10-14","11","1","İstanbul Başakşehir"
"","19","FW","Iñaki Williams","1994-06-15","26","2","Athletic Bilbao"
"","20","MF","Augustine Boakye","2000-11-03","0","0","Saint-Étienne"
"","21","DF","Kojo Peprah Oppong","2004-06-04","4","0","Nice"
"","22","FW","Kamaldeen Sulemana","2002-02-15","28","1","Atalanta"
"","23","DF","Derrick Luckassen","1995-07-03","1","0","Pafos"
"","24","FW","Ernest Nuamah","2003-11-01","18","4","Lyon"
"","25","FW","Prince Kwabena Adu","2003-09-23","5","0","Viktoria Plzeň"
"","26","DF","Marvin Senaya","2001-01-28","2","0","Auxerre"
