"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Johny Placide (Captain)","1988-01-29","82","0","Bastia"
"","2","DF","Carlens Arcus","1996-06-28","56","1","Angers"
"","3","DF","Keeto Thermoncy","2006-03-29","1","0","Young Boys"
"","4","DF","Ricardo Adé","1990-05-21","59","2","LDU Quito"
"","5","DF","Hannes Delcroix","1999-02-28","7","0","Lugano"
"","6","MF","Carl Sainté","2002-08-09","26","0","El Paso Locomotive FC"
"","7","FW","Derrick Etienne Jr.","1996-11-25","51","8","Toronto FC"
"","8","DF","Martin Expérience","1999-03-09","21","0","Nancy"
"","9","FW","Duckens Nazon","1994-04-07","82","44","Esteghlal"
"","10","MF","Jean-Ricner Bellegarde","1998-06-27","10","0","Wolverhampton Wanderers"
"","11","FW","Louicius Deedson","2001-02-11","32","10","FC Dallas"
"","12","GK","Alexandre Pierre","2001-02-25","16","0","Sochaux"
"","13","DF","Duke Lacroix","1993-10-14","16","3","Colorado Springs Switchbacks FC"
"","14","DF","Garven Metusala","1999-12-31","16","0","Colorado Springs Switchbacks FC"
"","15","FW","Ruben Providence","2001-07-07","15","3","Almere City"
"","16","FW","Lenny Joseph","2000-10-12","2","1","Ferencváros"
"","17","MF","Danley Jean Jacques","2000-05-20","31","6","Philadelphia Union"
"","18","FW","Wilson Isidor","2000-08-27","4","2","Sunderland"
"","19","FW","Yassin Fortuné","1999-01-30","4","0","Vizela"
"","20","FW","Frantzdy Pierrot","1995-03-29","51","34","Çaykur Rizespor"
"","21","FW","Josué Casimir","2001-09-24","7","0","Auxerre"
"","22","DF","Jean-Kévin Duverne","1997-07-12","17","1","Gent"
"","23","GK","Josué Duverger","2000-04-27","7","0","Cosmos Koblenz"
"","24","DF","Wilguens Paugain","2001-08-24","8","0","Zulte Waregem"
"","25","MF","Dominique Simon","2000-07-29","2","0","Tatran Prešov"
"","26","MF","Woodensky Pierre","2004-12-30","1","0","Violette"
