"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Alireza Beiranvand","1992-09-21","86","0","Tractor"
"","2","DF","Saleh Hardani","1998-12-26","18","1","Esteghlal"
"","3","DF","Ehsan Hajsafi (Captain)","1990-02-25","146","7","Sepahan"
"","4","DF","Shojae Khalilzadeh","1989-05-14","58","2","Tractor"
"","5","DF","Milad Mohammadi","1993-09-29","76","1","Persepolis"
"","6","MF","Saeid Ezatolahi","1996-10-01","83","2","Shabab Al Ahli"
"","7","MF","Alireza Jahanbakhsh","1993-08-11","99","17","Dender EH"
"","8","MF","Mohammad Mohebi","1998-12-20","37","14","Rostov"
"","9","FW","Mehdi Taremi","1992-07-18","105","60","Olympiacos"
"","10","FW","Mehdi Ghayedi","1998-12-05","30","10","Al Nasr"
"","11","FW","Ali Alipour","1995-11-11","14","1","Persepolis"
"","12","GK","Payam Niazmand","1995-04-06","15","0","Persepolis"
"","13","DF","Hossein Kanaanizadegan","1994-03-23","65","6","Persepolis"
"","14","MF","Saman Ghoddos","1993-09-06","68","3","Kalba"
"","15","MF","Rouzbeh Cheshmi","1993-07-24","40","3","Esteghlal"
"","16","MF","Mahdi Torabi","1994-09-10","52","7","Tractor"
"","17","DF","Arya Yousefi","2002-04-22","14","1","Sepahan"
"","18","FW","Amirhossein Hosseinzadeh","2000-10-30","18","5","Tractor"
"","19","DF","Ali Nemati","1996-02-08","18","0","Foolad"
"","20","FW","Shahriyar Moghanlou","1994-12-21","21","2","Kalba"
"","21","MF","Mohammad Ghorbani","2001-10-07","16","0","Al Wahda"
"","22","GK","Hossein Hosseini","1992-06-30","13","0","Sepahan"
"","23","DF","Ramin Rezaeian","1990-03-21","74","8","Foolad"
"","24","FW","Dennis Eckert","1997-01-09","0","0","Standard Liège"
"","25","DF","Danial Eiri","2003-10-26","0","0","Malavan"
"","26","MF","Amirmohammad Razzaghinia","2006-04-11","4","0","Esteghlal"
