"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Fahad Talib","1994-10-21","21","0","Al-Talaba"
"","2","DF","Rebin Sulaka","1992-04-12","56","1","Port"
"","3","DF","Hussein Ali","2002-03-01","27","1","Pogoń Szczecin"
"","4","DF","Zaid Tahseen","2001-01-29","28","1","Pakhtakor"
"","5","DF","Akam Hashim","1998-08-16","14","1","Al-Zawraa"
"","6","DF","Manaf Younis","1996-11-16","34","1","Al-Shorta"
"","7","MF","Youssef Amyn","2003-08-21","27","2","AEK Larnaca"
"","8","MF","Ibrahim Bayesh","2000-05-01","76","8","Al Dhafra"
"","9","FW","Ali Al-Hamadi","2002-03-01","20","5","Luton Town"
"","10","FW","Mohanad Ali","2000-06-20","72","27","Dibba"
"","11","FW","Ahmed Qasem","2003-07-12","3","0","Nashville SC"
"","12","GK","Jalal Hassan (Captain)","1991-05-18","102","0","Al-Zawraa"
"","13","FW","Ali Yousif","1996-01-19","7","1","Al-Talaba"
"","14","MF","Zidane Iqbal","2003-04-27","25","2","Utrecht"
"","15","DF","Ahmed Maknzi","2001-09-24","7","0","Al-Karma"
"","16","MF","Amir Al-Ammari","1997-07-27","51","3","Cracovia"
"","17","FW","Ali Jasim","2004-01-20","36","2","Al-Najma"
"","18","FW","Aymen Hussein","1996-03-22","95","33","Al-Karma"
"","19","MF","Kevin Yakob","2000-10-10","9","0","AGF"
"","20","MF","Aimar Sher","2002-12-20","7","0","Sarpsborg 08"
"","21","FW","Marko Farji","2004-03-16","12","0","Venezia"
"","22","GK","Ahmed Basil","1996-08-19","16","0","Al-Shorta"
"","23","DF","Merchas Doski","1999-12-07","31","1","Viktoria Plzeň"
"","24","MF","Zaid Ismail","2002-01-03","6","0","Al-Talaba"
"","25","DF","Mustafa Saadoon","2001-05-25","17","0","Al-Shorta"
"","26","DF","Frans Putros","1993-07-14","28","0","Persib"
