"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Zion Suzuki","2002-08-21","24","0","Parma"
"","2","DF","Yukinari Sugawara","2000-06-28","21","2","Werder Bremen"
"","3","DF","Shōgo Taniguchi","1991-07-15","38","1","Sint-Truiden"
"","4","DF","Kō Itakura (Captain)","1997-01-27","40","2","Ajax"
"","5","DF","Yūto Nagatomo","1986-09-12","145","4","FC Tokyo"
"","6","FW","Shūto Machino","1999-09-30","14","5","Borussia Mönchengladbach"
"","7","MF","Ao Tanaka","1998-09-10","38","8","Leeds United"
"","8","MF","Takefusa Kubo","2001-06-04","49","7","Real Sociedad"
"","9","FW","Keisuke Gotō","2005-06-03","4","0","Sint-Truiden"
"","10","MF","Ritsu Dōan","1998-06-16","65","11","Eintracht Frankfurt"
"","11","MF","Daizen Maeda","1997-10-20","27","4","Celtic"
"","12","GK","Keisuke Ōsako","1999-07-28","11","0","Sanfrecce Hiroshima"
"","13","MF","Keito Nakamura","2000-07-28","25","10","Reims"
"","14","MF","Junya Itō","1993-03-09","69","15","Genk"
"","15","MF","Daichi Kamada","1996-08-05","49","12","Crystal Palace"
"","16","DF","Tsuyoshi Watanabe","1997-02-05","11","0","Feyenoord"
"","17","MF","Yuito Suzuki","2001-10-25","6","0","SC Freiburg"
"","18","FW","Ayase Ueda","1998-08-28","39","16","Feyenoord"
"","19","FW","Kōki Ogawa","1997-08-08","15","11","NEC"
"","20","DF","Ayumu Seko","2000-06-07","14","0","Le Havre"
"","21","DF","Hiroki Itō","1999-05-12","24","1","Bayern Munich"
"","22","DF","Takehiro Tomiyasu","1998-11-05","43","1","Ajax"
"","23","GK","Tomoki Hayakawa","1999-03-03","4","0","Kashima Antlers"
"","24","MF","Kaishū Sano","2000-12-30","13","0","Mainz 05"
"","25","DF","Junnosuke Suzuki","2003-07-12","6","0","Copenhagen"
"","26","FW","Kento Shiogai","2005-03-26","2","0","VfL Wolfsburg"
