"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Yazeed Abulaila","1993-01-08","76","0","Al-Hussein"
"","2","DF","Mohammad Abu Hashish","1995-05-09","56","1","Al-Karma"
"","3","DF","Abdallah Nasib","1994-02-25","65","3","Al-Zawraa"
"","4","DF","Husam Abu Dahab","2000-05-13","18","0","Al-Faisaly"
"","5","DF","Yazan Al-Arab","1996-01-31","80","3","FC Seoul"
"","6","MF","Amer Jamous","2002-07-03","19","1","Al-Zawraa"
"","7","FW","Mohammad Abu Zrayq","1997-12-30","41","5","Raja Casablanca"
"","8","MF","Noor Al-Rawabdeh","1997-02-24","68","3","Selangor"
"","9","FW","Ali Olwan","2000-03-26","66","29","Al-Sailiya"
"","10","FW","Musa Al-Taamari","1997-06-10","92","24","Rennes"
"","11","FW","Odeh Al-Fakhouri","2005-11-22","10","1","Pyramids"
"","12","GK","Nour Bani Attiah","1993-01-25","5","0","Al-Faisaly"
"","13","FW","Mahmoud Al-Mardi","1993-10-06","89","9","Al-Hussein"
"","14","MF","Rajaei Ayed","1993-07-25","72","0","Al-Hussein"
"","15","MF","Ibrahim Sadeh","2000-04-27","57","3","Al-Karma"
"","16","DF","Mo Abualnadi","2001-02-08","18","0","Selangor"
"","17","DF","Salim Obaid","1992-01-17","11","0","Al-Hussein"
"","18","MF","Mohammad Taha","2005-07-13","2","0","Al-Hussein"
"","19","DF","Saed Al-Rosan","1997-02-01","21","2","Al-Hussein"
"","20","MF","Mohannad Abu Taha","2003-02-02","29","1","Al-Quwa Al-Jawiya"
"","21","MF","Nizar Al-Rashdan","1999-03-23","47","4","Qatar SC"
"","22","GK","Abdallah Al-Fakhouri","2000-01-22","11","0","Al-Wehdat"
"","23","DF","Ihsan Haddad (Captain)","1994-02-05","92","2","Al-Hussein"
"","24","FW","Ali Azaizeh","2004-04-13","4","0","Al-Shabab"
"","25","MF","Mohammad Al-Dawoud","1992-04-12","13","1","Al-Wehdat"
"","26","DF","Anas Badawi","1997-09-13","1","0","Al-Faisaly"
