"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Kim Seung-gyu","1990-09-30","87","0","FC Tokyo"
"","2","DF","Lee Han-beom","2002-06-17","8","0","Midtjylland"
"","3","MF","Lee Gi-hyuk","2000-07-07","3","0","Gangwon FC"
"","4","DF","Kim Min-jae","1996-11-15","79","4","Bayern Munich"
"","5","DF","Kim Tae-hyeon","2000-09-17","7","0","Kashima Antlers"
"","6","MF","Hwang In-beom","1996-09-20","73","6","Feyenoord"
"","7","FW","Son Heung-min (Captain)","1992-07-08","144","56","Los Angeles FC"
"","8","MF","Paik Seung-ho","1997-03-17","27","3","Birmingham City"
"","9","FW","Cho Gue-sung","1998-01-25","44","12","Midtjylland"
"","10","MF","Lee Jae-sung","1992-08-10","105","15","Mainz 05"
"","11","MF","Hwang Hee-chan","1996-01-26","79","17","Wolverhampton Wanderers"
"","12","GK","Song Bum-keun","1997-10-15","3","0","Jeonbuk Hyundai Motors"
"","13","DF","Lee Tae-seok","2002-07-28","15","1","Austria Wien"
"","14","DF","Cho Wi-je","2001-08-25","1","0","Jeonbuk Hyundai Motors"
"","15","DF","Kim Moon-hwan","1995-08-01","35","0","Daejeon Hana Citizen"
"","16","DF","Park Jin-seob","1995-10-23","14","1","Zhejiang"
"","17","MF","Bae Jun-ho","2003-08-21","13","2","Stoke City"
"","18","FW","Oh Hyeon-gyu","2001-04-12","27","6","Beşiktaş"
"","19","MF","Lee Kang-in","2001-02-19","47","11","Paris Saint-Germain"
"","20","MF","Yang Hyun-jun","2002-05-25","9","0","Celtic"
"","21","GK","Jo Hyeon-woo","1991-09-25","48","0","Ulsan HD"
"","22","DF","Seol Young-woo","1998-12-05","34","0","Red Star Belgrade"
"","23","DF","Jens Castrop","2003-07-29","7","0","Borussia Mönchengladbach"
"","24","MF","Kim Jin-gyu","1997-02-24","22","3","Jeonbuk Hyundai Motors"
"","25","MF","Eom Ji-sung","2002-05-09","9","2","Swansea City"
"","26","MF","Lee Dong-gyeong","1997-09-20","18","4","Ulsan HD"
