"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Raúl Rangel","2000-02-25","14","0","Guadalajara"
"","2","DF","Jorge Sánchez","1997-12-10","59","3","PAOK"
"","3","DF","César Montes","1997-02-24","67","4","Lokomotiv Moscow"
"","4","DF","Edson Álvarez (Captain)","1997-10-24","98","7","Fenerbahçe"
"","5","DF","Johan Vásquez","1998-10-22","46","3","Genoa"
"","6","MF","Érik Lira","2000-05-08","25","0","Cruz Azul"
"","7","MF","Luis Romo","1995-06-05","63","4","Guadalajara"
"","8","MF","Álvaro Fidalgo","1997-04-09","4","0","Real Betis"
"","9","FW","Raúl Jiménez","1991-05-05","124","44","Fulham"
"","10","FW","Alexis Vega","1997-11-25","52","7","Toluca"
"","11","FW","Santiago Giménez","2001-04-18","47","6","Milan"
"","12","GK","Carlos Acevedo","1996-04-19","7","0","Santos Laguna"
"","13","GK","Guillermo Ochoa","1985-07-13","152","0","AEL Limassol"
"","14","FW","Armando González","2003-04-20","7","1","Guadalajara"
"","15","DF","Israel Reyes","2000-05-23","34","2","América"
"","16","FW","Julián Quiñones","1997-03-24","22","2","Al-Qadsiah"
"","17","MF","Orbelín Pineda","1996-03-24","92","12","AEK Athens"
"","18","MF","Obed Vargas","2005-08-05","6","0","Atlético Madrid"
"","19","MF","Gilberto Mora","2008-10-14","8","0","Tijuana"
"","20","DF","Mateo Chávez","2004-05-12","10","0","AZ"
"","21","FW","César Huerta","2000-12-03","26","3","Anderlecht"
"","22","FW","Guillermo Martínez","1995-03-15","12","3","Pumas UNAM"
"","23","DF","Jesús Gallardo","1994-08-15","121","3","Toluca"
"","24","MF","Luis Chávez","1996-01-15","45","5","Dynamo Moscow"
"","25","FW","Roberto Alvarado","1998-09-07","67","5","Guadalajara"
"","26","MF","Brian Gutiérrez","2003-06-17","7","2","Guadalajara"
