"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Yassine Bounou","1991-04-05","90","0","Al-Hilal"
"","2","DF","Achraf Hakimi (Captain)","1998-11-04","96","11","Paris Saint-Germain"
"","3","DF","Noussair Mazraoui","1997-11-14","45","2","Manchester United"
"","4","MF","Sofyan Amrabat","1996-08-21","75","0","Real Betis"
"","5","DF","Marwane Saâdane","1992-01-17","8","0","Al-Fateh"
"","6","MF","Ayyoub Bouaddi","2007-10-02","3","0","Lille"
"","7","MF","Chemsdine Talbi","2005-05-09","5","0","Sunderland"
"","8","MF","Azzedine Ounahi","2000-04-19","49","9","Girona"
"","9","FW","Soufiane Rahimi","1996-06-02","37","12","Al Ain"
"","10","FW","Brahim Díaz","1999-08-03","26","14","Real Madrid"
"","11","MF","Ismael Saibari","2001-01-28","30","9","PSV Eindhoven"
"","12","GK","Munir Mohamedi","1989-05-10","52","0","RS Berkane"
"","13","DF","Zakaria El Ouahdi","2001-12-31","3","0","Genk"
"","14","DF","Issa Diop","1997-01-09","4","0","Fulham"
"","15","MF","Samir El Mourabet","2005-10-06","4","0","Strasbourg"
"","16","MF","Gessime Yassine","2005-11-22","4","0","Strasbourg"
"","17","FW","Amine Sbaï","2000-11-05","2","0","Angers"
"","18","DF","Chadi Riad","2003-06-17","6","1","Crystal Palace"
"","19","DF","Youssef Belammari","1998-09-20","18","0","Al Ahly"
"","20","FW","Ayoub El Kaabi","1993-06-25","71","35","Olympiacos"
"","21","FW","Ayoube Amaimouni","2004-11-30","2","0","Eintracht Frankfurt"
"","22","GK","Ahmed Reda Tagnaouti","1996-04-05","3","0","AS FAR"
"","23","MF","Bilal El Khannouss","2004-05-10","37","3","VfB Stuttgart"
"","24","MF","Neil El Aynaoui","2001-07-02","16","2","Roma"
"","25","DF","Redouane Halhal","2003-03-05","3","0","Mechelen"
"","26","DF","Anass Salah-Eddine","2002-01-18","9","0","PSV Eindhoven"
