"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Bart Verbruggen","2002-08-18","29","0","Brighton & Hove Albion"
"","2","DF","Lutsharel Geertruida","2000-07-18","21","0","Sunderland"
"","3","MF","Marten de Roon","1991-03-29","43","1","Atalanta"
"","4","DF","Virgil van Dijk (Captain)","1991-07-08","92","12","Liverpool"
"","5","DF","Nathan Aké","1995-02-18","59","5","Manchester City"
"","6","DF","Jan Paul van Hecke","2000-06-08","12","0","Brighton & Hove Albion"
"","7","MF","Justin Kluivert","1999-05-05","12","0","Bournemouth"
"","8","MF","Ryan Gravenberch","2002-05-16","27","1","Liverpool"
"","9","FW","Wout Weghorst","1992-08-07","52","14","Ajax"
"","10","FW","Memphis Depay","1994-02-13","109","55","Corinthians"
"","11","FW","Cody Gakpo","1999-05-07","50","21","Liverpool"
"","12","DF","Mats Wieffer","1999-11-16","15","1","Brighton & Hove Albion"
"","13","GK","Robin Roefs","2003-01-17","1","0","Sunderland"
"","14","MF","Tijjani Reijnders","1998-07-29","32","7","Manchester City"
"","15","DF","Micky van de Ven","2001-04-19","21","1","Tottenham Hotspur"
"","16","MF","Guus Til","1997-12-22","7","1","PSV Eindhoven"
"","17","FW","Noa Lang","1999-06-17","15","3","Galatasaray"
"","18","FW","Donyell Malen","1999-01-19","53","13","Roma"
"","19","FW","Brian Brobbey","2002-02-01","12","1","Sunderland"
"","20","MF","Teun Koopmeiners","1998-02-28","28","3","Juventus"
"","21","MF","Frenkie de Jong","1997-05-12","66","2","Barcelona"
"","22","DF","Denzel Dumfries","1996-04-18","72","11","Inter Milan"
"","23","GK","Mark Flekken","1993-06-13","12","0","Bayer Leverkusen"
"","24","FW","Crysencio Summerville","2001-10-30","2","0","West Ham United"
"","25","DF","Jorrel Hato","2006-03-07","8","0","Chelsea"
"","26","MF","Quinten Timber","2001-06-17","11","1","Marseille"
