"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Max Crocombe","1993-08-12","24","0","Millwall"
"","2","DF","Tim Payne","1994-01-10","51","3","Wellington Phoenix"
"","3","DF","Francis de Vries","1994-11-28","20","1","Auckland FC"
"","4","DF","Tyler Bindon","2005-01-27","25","3","Sheffield United"
"","5","DF","Michael Boxall","1988-08-18","63","1","Minnesota United FC"
"","6","MF","Joe Bell","1999-04-27","32","1","Viking"
"","7","FW","Logan Rogerson","1998-05-28","18","2","Auckland FC"
"","8","MF","Marko Stamenić","2002-02-19","39","3","Swansea City"
"","9","FW","Chris Wood (Captain)","1991-12-07","90","45","Nottingham Forest"
"","10","MF","Sarpreet Singh","1999-02-20","28","3","Wellington Phoenix"
"","11","MF","Elijah Just","2000-05-01","44","9","Motherwell"
"","12","GK","Alex Paulsen","2002-07-04","8","0","Lechia Gdańsk"
"","13","DF","Liberato Cacace","2000-09-27","37","1","Wrexham"
"","14","MF","Alex Rufer","1996-06-12","26","0","Wellington Phoenix"
"","15","DF","Nando Pijnaker","1999-02-25","25","0","Auckland FC"
"","16","DF","Finn Surman","2003-09-23","19","2","Portland Timbers"
"","17","FW","Kosta Barbarouses","1990-02-19","76","10","Western Sydney Wanderers"
"","18","FW","Ben Waine","2001-06-11","31","9","Port Vale"
"","19","MF","Ben Old","2002-08-13","24","2","Saint-Étienne"
"","20","MF","Callum McCowatt","1999-04-30","32","4","Silkeborg"
"","21","FW","Jesse Randall","2002-08-19","11","2","Auckland FC"
"","22","GK","Michael Woud","1999-01-16","6","0","Auckland FC"
"","23","MF","Ryan Thomas","1994-12-20","25","3","PEC Zwolle"
"","24","DF","Callan Elliot","1999-07-07","11","0","Auckland FC"
"","25","MF","Lachlan Bayliss","2002-07-24","4","0","Newcastle Jets"
"","26","DF","Tommy Smith","1990-03-31","56","2","Braintree Town"
