"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Ørjan Nyland","1990-09-10","71","0","Sevilla"
"","2","MF","Morten Thorsby","1996-05-05","31","0","Cremonese"
"","3","DF","Kristoffer Ajer","1998-04-17","52","2","Brentford"
"","4","DF","Leo Østigård","1999-11-28","38","1","Genoa"
"","5","DF","David Møller Wolfe","2002-04-23","22","1","Wolverhampton Wanderers"
"","6","MF","Patrick Berg","1997-11-24","43","0","Bodø/Glimt"
"","7","FW","Alexander Sørloth","1995-12-05","72","26","Atlético Madrid"
"","8","MF","Sander Berge","1998-02-14","66","1","Fulham"
"","9","FW","Erling Haaland","2000-07-21","50","55","Manchester City"
"","10","MF","Martin Ødegaard (Captain)","1998-12-17","68","5","Arsenal"
"","11","FW","Jørgen Strand Larsen","2000-02-06","28","6","Crystal Palace"
"","12","GK","Sander Tangvik","2002-11-29","0","0","Hamburger SV"
"","13","GK","Egil Selvik","1997-07-30","7","0","Watford"
"","14","MF","Fredrik Aursnes","1995-12-10","22","1","Benfica"
"","15","DF","Fredrik André Bjørkan","1998-08-21","21","1","Bodø/Glimt"
"","16","DF","Marcus Holmgren Pedersen","2000-07-16","32","0","Torino"
"","17","DF","Torbjørn Heggem","1999-01-12","15","0","Bologna"
"","18","MF","Kristian Thorstvedt","1999-03-13","37","4","Sassuolo"
"","19","MF","Thelo Aasgaard","2002-05-02","8","5","Rangers"
"","20","MF","Antonio Nusa","2005-04-17","24","8","RB Leipzig"
"","21","MF","Andreas Schjelderup","2004-06-01","12","1","Benfica"
"","22","MF","Oscar Bobb","2003-07-12","20","2","Fulham"
"","23","MF","Jens Petter Hauge","1999-10-12","15","1","Bodø/Glimt"
"","24","DF","Sondre Langås","2001-02-02","3","0","Derby County"
"","25","DF","Henrik Falchener","2003-05-08","1","0","Viking"
"","26","DF","Julian Ryerson","1997-11-17","43","1","Borussia Dortmund"
