"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Luis Mejía","1991-03-16","56","0","Nacional"
"","2","DF","César Blackman","1998-04-02","40","3","Slovan Bratislava"
"","3","DF","José Córdoba","2001-06-03","32","1","Norwich City"
"","4","DF","Fidel Escobar","1995-01-09","99","4","Saprissa"
"","5","DF","Edgardo Fariña","2001-10-19","18","0","Pari Nizhny Novgorod"
"","6","MF","Cristian Martínez","1997-02-06","66","2","Ironi Kiryat Shmona"
"","7","MF","José Luis Rodríguez","1998-06-19","70","8","Juárez"
"","8","MF","Adalberto Carrasquilla","1998-11-28","73","3","Pumas UNAM"
"","9","FW","Tomás Rodríguez","1999-03-09","13","4","Saprissa"
"","10","MF","Ismael Díaz","1997-05-12","57","17","León"
"","11","MF","Yoel Bárcenas","1993-10-23","104","10","Mazatlán"
"","12","GK","César Samudio","1994-02-23","5","0","Marathón"
"","13","DF","Jiovany Ramos","1997-01-26","23","2","Puerto Cabello"
"","14","DF","Carlos Harvey","2000-02-03","28","3","Minnesota United FC"
"","15","DF","Eric Davis","1991-03-31","107","9","Plaza Amador"
"","16","DF","Andrés Andrade","1998-10-16","50","1","LASK"
"","17","FW","José Fajardo","1993-08-18","68","17","Universidad Católica"
"","18","FW","Cecilio Waterman","1991-04-13","55","15","Universidad de Concepción"
"","19","MF","Alberto Quintero","1987-12-18","141","7","Plaza Amador"
"","20","MF","Aníbal Godoy (Captain)","1990-02-10","159","4","San Diego FC"
"","21","MF","César Yanis","1996-01-28","56","5","Cobresal"
"","22","GK","Orlando Mosquera","1994-12-25","48","0","Al-Fayha"
"","23","DF","Michael Amir Murillo","1996-02-11","94","9","Beşiktaş"
"","24","FW","Azarias Londoño","2001-06-21","11","0","Universidad Católica"
"","25","DF","Roderick Miller","1992-04-03","50","2","Turan Tovuz"
"","26","DF","Jorge Gutiérrez","1998-09-01","18","0","Deportivo La Guaira"
