"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Gatito Fernández","1988-03-29","31","0","Cerro Porteño"
"","2","DF","Gustavo Velázquez","1991-04-17","13","1","Cerro Porteño"
"","3","DF","Omar Alderete","1996-12-26","36","3","Sunderland"
"","4","DF","Juan José Cáceres","2000-06-01","17","0","Dynamo Moscow"
"","5","DF","Fabián Balbuena","1991-08-23","48","2","Grêmio"
"","6","DF","Júnior Alonso","1993-02-09","71","3","Atlético Mineiro"
"","7","MF","Ramón Sosa","1999-08-31","29","1","Palmeiras"
"","8","MF","Diego Gómez","2003-03-27","24","3","Brighton & Hove Albion"
"","9","FW","Antonio Sanabria","1996-03-04","48","7","Cremonese"
"","10","MF","Miguel Almirón","1994-02-10","76","10","Atlanta United FC"
"","11","MF","Maurício","2001-06-22","3","0","Palmeiras"
"","12","GK","Orlando Gill","2000-06-11","6","0","San Lorenzo"
"","13","DF","José Canale","1996-07-20","2","0","Lanús"
"","14","MF","Andrés Cubas","1996-05-11","33","0","Vancouver Whitecaps FC"
"","15","DF","Gustavo Gómez (Captain)","1993-05-06","89","4","Palmeiras"
"","16","MF","Damián Bobadilla","2001-07-11","19","1","São Paulo"
"","17","FW","Kaku","1995-01-11","33","6","Al Ain"
"","18","FW","Álex Arce","1995-06-16","15","1","Independiente Rivadavia"
"","19","FW","Julio Enciso","2004-01-23","32","4","Strasbourg"
"","20","MF","Braian Ojeda","2000-06-27","17","0","Orlando City SC"
"","21","FW","Gabriel Ávalos","1991-07-09","23","2","Independiente"
"","22","GK","Gastón Olveira","1993-04-21","1","0","Olimpia"
"","23","MF","Matías Galarza","2002-02-11","15","3","Atlanta United FC"
"","24","MF","Gustavo Caballero","2001-09-21","2","1","Portsmouth"
"","25","FW","Isidro Pitta","1999-08-14","5","0","Red Bull Bragantino"
"","26","DF","Alexandro Maidana","2005-07-26","2","1","Talleres"
