"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Diogo Costa","1999-09-19","43","0","Porto"
"","2","DF","Nélson Semedo","1993-11-16","50","0","Fenerbahçe"
"","3","DF","Rúben Dias","1997-05-14","76","3","Manchester City"
"","4","DF","Tomás Araújo","2002-05-16","5","0","Benfica"
"","5","DF","Diogo Dalot","1999-03-18","35","3","Manchester United"
"","6","MF","Matheus Nunes","1998-08-27","20","2","Manchester City"
"","7","FW","Cristiano Ronaldo (Captain)","1985-02-05","228","143","Al-Nassr"
"","8","MF","Bruno Fernandes","1994-09-08","89","29","Manchester United"
"","9","FW","Gonçalo Ramos","2001-06-20","25","10","Paris Saint-Germain"
"","10","MF","Bernardo Silva","1994-08-10","109","14","Manchester City"
"","11","FW","João Félix","1999-11-10","54","12","Al-Nassr"
"","12","GK","José Sá","1993-01-17","5","0","Wolverhampton Wanderers"
"","13","DF","Renato Veiga","2003-07-29","13","1","Villarreal"
"","14","DF","Gonçalo Inácio","2001-08-25","22","2","Sporting CP"
"","15","MF","João Neves","2004-09-27","22","3","Paris Saint-Germain"
"","16","FW","Francisco Trincão","1999-12-29","18","3","Sporting CP"
"","17","FW","Rafael Leão","1999-06-10","44","5","Milan"
"","18","FW","Pedro Neto","2000-03-09","25","3","Chelsea"
"","19","FW","Gonçalo Guedes","1996-11-29","34","8","Real Sociedad"
"","20","DF","João Cancelo","1994-05-27","68","12","Barcelona"
"","21","MF","Rúben Neves","1997-03-13","67","1","Al-Hilal"
"","22","GK","Rui Silva","1994-02-07","3","0","Sporting CP"
"","23","MF","Vitinha","2000-02-13","38","0","Paris Saint-Germain"
"","24","DF","Samú Costa","2000-11-27","6","0","Mallorca"
"","25","DF","Nuno Mendes","2002-06-19","44","1","Paris Saint-Germain"
"","26","FW","Francisco Conceição","2002-12-14","17","4","Juventus"
