"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Mahmud Abunada","2000-02-05","6","0","Al-Rayyan"
"","2","DF","Pedro Miguel","1990-08-06","105","3","Al-Sadd"
"","3","DF","Lucas Mendes","1990-07-03","25","1","Al-Wakrah"
"","4","DF","Issa Laye","1997-12-22","4","0","Al-Arabi"
"","5","DF","Jassem Gaber","2002-02-20","32","1","Al-Rayyan"
"","6","MF","Abdulaziz Hatem","1990-01-01","119","11","Al-Rayyan"
"","7","FW","Ahmed Alaaeldin","1993-01-31","68","9","Al-Rayyan"
"","8","FW","Edmilson Junior","1994-08-19","16","0","Al-Duhail"
"","9","FW","Mohammed Muntari","1993-12-20","67","16","Al-Gharafa"
"","10","FW","Hassan Al-Haydos (Captain)","1990-12-11","186","41","Al-Sadd"
"","11","FW","Akram Afif","1996-11-18","125","39","Al-Sadd"
"","12","MF","Karim Boudiaf","1990-09-16","118","5","Al-Duhail"
"","13","DF","Ayoub Al-Oui","2005-03-11","6","0","Al-Gharafa"
"","14","DF","Homam Ahmed","1999-08-25","68","3","Cultural Leonesa"
"","15","FW","Yusuf Abdurisag","1999-08-06","39","3","Al-Wakrah"
"","16","DF","Boualem Khoukhi","1990-07-09","116","20","Al-Sadd"
"","17","MF","Ahmed Al-Ganehi","2000-09-22","13","1","Al-Gharafa"
"","18","DF","Sultan Al-Brake","1996-04-07","17","0","Al-Duhail"
"","19","FW","Almoez Ali","1996-08-19","115","55","Al-Duhail"
"","20","MF","Ahmed Fathy","1993-01-25","48","0","Al-Arabi"
"","21","GK","Salah Zakaria","1999-04-24","8","0","Al-Duhail"
"","22","GK","Meshaal Barsham","1998-02-14","52","0","Al-Sadd"
"","23","MF","Assim Madibo","1996-10-22","51","0","Al-Wakrah"
"","24","FW","Tahsin Jamshid","2006-06-16","3","0","Al-Duhail"
"","25","DF","Al-Hashmi Al-Hussain","2003-08-15","8","0","Al-Arabi"
"","26","FW","Mohamed Manai","2002-10-25","10","0","Al-Shamal"
