"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Nawaf Al-Aqidi","2000-05-10","24","0","Al-Nassr"
"","2","DF","Ali Majrashi","1999-10-02","21","0","Al-Ahli"
"","3","DF","Ali Lajami","1996-04-24","24","1","Al-Hilal"
"","4","DF","Abdulelah Al-Amri","1997-01-15","44","1","Al-Nassr"
"","5","DF","Hassan Al-Tambakti","1999-02-09","54","1","Al-Hilal"
"","6","MF","Nasser Al-Dawsari","1998-12-19","47","1","Al-Hilal"
"","7","MF","Musab Al-Juwayr","2003-06-20","37","6","Al-Qadsiah"
"","8","FW","Ayman Yahya","2001-05-14","26","0","Al-Nassr"
"","9","FW","Firas Al-Buraikan","2000-05-14","72","16","Al-Ahli"
"","10","FW","Salem Al-Dawsari (Captain)","1991-08-19","111","27","Al-Hilal"
"","11","FW","Saleh Al-Shehri","1993-11-01","59","17","Al-Ittihad"
"","12","DF","Saud Abdulhamid","1999-07-18","55","1","Lens"
"","13","DF","Nawaf Boushal","1999-09-16","27","0","Al-Nassr"
"","14","DF","Hassan Kadesh","1992-09-26","21","2","Al-Ittihad"
"","15","MF","Abdullah Al-Khaibari","1996-08-16","42","0","Al-Nassr"
"","16","MF","Ziyad Al-Johani","2001-11-11","12","0","Al-Ahli"
"","17","FW","Khalid Al-Ghannam","2000-11-08","7","0","Al-Ettifaq"
"","18","MF","Alaa Al-Hejji","1995-12-03","3","0","Neom"
"","19","FW","Abdullah Al-Hamdan","1999-09-13","52","13","Al-Nassr"
"","20","FW","Sultan Mandash","1994-10-17","7","2","Al-Hilal"
"","21","GK","Mohammed Al-Owais","1991-10-10","65","0","Al-Ula"
"","22","GK","Ahmed Al-Kassar","1991-05-08","9","0","Al-Qadsiah"
"","23","MF","Mohamed Kanno","1994-09-22","79","8","Al-Hilal"
"","24","DF","Moteb Al-Harbi","2000-02-20","13","0","Al-Hilal"
"","25","DF","Jehad Thakri","2001-07-21","8","0","Al-Qadsiah"
"","26","DF","Mohammed Abu Al-Shamat","2002-08-11","8","0","Al-Qadsiah"
