"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Angus Gunn","1996-01-22","22","0","Nottingham Forest"
"","2","DF","Aaron Hickey","2002-06-10","21","0","Brentford"
"","3","DF","Andy Robertson (Captain)","1994-03-11","94","4","Liverpool"
"","4","MF","Scott McTominay","1996-12-08","70","15","Napoli"
"","5","DF","Grant Hanley","1991-11-20","68","2","Hibernian"
"","6","DF","Kieran Tierney","1997-06-05","56","2","Celtic"
"","7","MF","John McGinn","1994-10-18","86","20","Aston Villa"
"","8","MF","Tyler Fletcher","2007-03-19","2","0","Manchester United"
"","9","FW","Lyndon Dykes","1995-10-07","51","10","Charlton Athletic"
"","10","FW","Ché Adams","1996-07-13","47","13","Torino"
"","11","MF","Ryan Christie","1995-02-22","68","10","Bournemouth"
"","12","GK","Liam Kelly","1996-01-23","3","0","Rangers"
"","13","DF","Jack Hendry","1995-05-07","38","3","Al-Ettifaq"
"","14","FW","Ross Stewart","1996-07-11","3","0","Southampton"
"","15","DF","John Souttar","1996-09-25","24","2","Rangers"
"","16","DF","Dominic Hyam","1995-12-20","4","0","Wrexham"
"","17","FW","Ben Gannon-Doak","2005-11-11","14","1","Bournemouth"
"","18","FW","George Hirst","1999-02-15","10","1","Ipswich Town"
"","19","MF","Lewis Ferguson","1999-08-24","24","1","Bologna"
"","20","FW","Lawrence Shankland","1995-08-10","20","7","Heart of Midlothian"
"","21","GK","Craig Gordon","1982-12-31","84","0","Heart of Midlothian"
"","22","DF","Nathan Patterson","2001-10-16","26","1","Everton"
"","23","MF","Kenny McLean","1992-01-08","58","3","Norwich City"
"","24","DF","Anthony Ralston","1998-11-16","27","1","Celtic"
"","25","FW","Findlay Curtis","2006-06-09","3","1","Kilmarnock"
"","26","DF","Scott McKenna","1996-11-12","50","1","Dinamo Zagreb"
