"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Yehvann Diouf","1999-11-16","2","0","Nice"
"","2","DF","Mamadou Sarr","2005-08-29","8","0","Chelsea"
"","3","DF","Kalidou Koulibaly (Captain)","1991-06-20","104","2","Al-Hilal"
"","4","DF","Abdoulaye Seck","1992-06-04","25","4","Maccabi Haifa"
"","5","MF","Idrissa Gueye","1989-09-26","132","7","Everton"
"","6","MF","Pathé Ciss","1994-03-16","30","0","Rayo Vallecano"
"","7","FW","Assane Diao","2005-09-07","5","0","Como"
"","8","MF","Lamine Camara","2004-01-01","45","7","Monaco"
"","9","FW","Bamba Dieng","2000-03-23","23","2","Lorient"
"","10","FW","Sadio Mané","1992-04-10","128","55","Al-Nassr"
"","11","FW","Nicolas Jackson","2001-06-20","33","8","Bayern Munich"
"","12","FW","Cherif Ndiaye","1996-01-23","19","4","Samsunspor"
"","13","FW","Iliman Ndiaye","2000-03-06","41","4","Everton"
"","14","DF","Ismail Jakobs","1999-08-17","31","0","Galatasaray"
"","15","DF","Krépin Diatta","1999-02-25","62","2","Monaco"
"","16","GK","Édouard Mendy","1992-03-01","58","0","Al-Ahli"
"","17","MF","Pape Matar Sarr","2002-09-14","40","4","Tottenham Hotspur"
"","18","FW","Ismaïla Sarr","1998-02-25","84","19","Crystal Palace"
"","19","DF","Moussa Niakhaté","1996-03-08","32","0","Lyon"
"","20","FW","Ibrahim Mbaye","2008-01-24","11","3","Paris Saint-Germain"
"","21","MF","Habib Diarra","2004-01-03","21","4","Sunderland"
"","22","MF","Bara Sapoko Ndiaye","2007-12-31","1","0","Bayern Munich"
"","23","GK","Mory Diaw","1993-06-22","5","0","Le Havre"
"","24","DF","Antoine Mendy","2004-05-27","7","0","Nice"
"","25","DF","El Hadji Malick Diouf","2004-12-29","20","1","West Ham United"
"","26","MF","Pape Gueye","1999-01-24","42","5","Villarreal"
