"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Ronwen Williams (Captain)","1992-01-21","62","0","Mamelodi Sundowns"
"","2","DF","Thabang Matuludi","1999-01-14","3","0","Polokwane City"
"","3","DF","Khulumani Ndamane","2004-02-05","5","0","Mamelodi Sundowns"
"","4","MF","Teboho Mokoena","1997-01-24","51","9","Mamelodi Sundowns"
"","5","MF","Thalente Mbatha","2000-03-06","15","3","Orlando Pirates"
"","6","DF","Aubrey Modiba","1995-07-22","44","3","Mamelodi Sundowns"
"","7","FW","Oswin Appollis","2001-08-25","26","8","Orlando Pirates"
"","8","FW","Tshepang Moremi","2000-10-02","10","1","Orlando Pirates"
"","9","FW","Lyle Foster","2000-09-03","27","10","Burnley"
"","10","FW","Relebohile Mofokeng","2004-10-23","13","0","Orlando Pirates"
"","11","MF","Themba Zwane","1989-08-03","54","12","Mamelodi Sundowns"
"","12","FW","Thapelo Maseko","2003-11-11","10","1","AEL Limassol"
"","13","MF","Sphephelo Sithole","1999-03-03","28","1","Tondela"
"","14","DF","Mbekezeli Mbokazi","2005-09-19","10","1","Chicago Fire FC"
"","15","FW","Iqraam Rayners","1995-12-19","14","4","Mamelodi Sundowns"
"","16","GK","Sipho Chaine","1996-12-14","4","0","Orlando Pirates"
"","17","FW","Evidence Makgopa","2000-06-05","26","6","Orlando Pirates"
"","18","DF","Samukele Kabini","2004-03-15","6","0","Molde"
"","19","DF","Nkosinathi Sibisi","1995-09-22","20","0","Orlando Pirates"
"","20","DF","Khuliso Mudau","1995-04-26","32","1","Mamelodi Sundowns"
"","21","DF","Ime Okon","2004-02-20","8","1","Hannover 96"
"","22","GK","Ricardo Goss","1994-04-02","5","0","Siwelele"
"","23","MF","Jayden Adams","2001-05-05","5","0","Mamelodi Sundowns"
"","24","DF","Olwethu Makhanya","2004-04-30","1","0","Philadelphia Union"
"","25","FW","Kamogelo Sebelebele","2002-07-21","3","0","Orlando Pirates"
"","26","DF","Bradley Cross","2001-01-30","1","0","Kaizer Chiefs"
