"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","David Raya","1995-09-15","13","0","Arsenal"
"","2","DF","Marc Pubill","2003-06-20","2","0","Atlético Madrid"
"","3","DF","Álex Grimaldo","1995-09-20","14","0","Bayer Leverkusen"
"","4","DF","Eric García","2001-01-09","21","0","Barcelona"
"","5","DF","Marcos Llorente","1995-01-30","24","0","Atlético Madrid"
"","6","MF","Mikel Merino","1996-06-22","43","10","Arsenal"
"","7","FW","Ferran Torres","2000-02-29","57","24","Barcelona"
"","8","MF","Fabián Ruiz","1996-04-03","42","6","Paris Saint-Germain"
"","9","MF","Gavi","2004-08-05","30","5","Barcelona"
"","10","FW","Dani Olmo","1998-05-07","50","12","Barcelona"
"","11","FW","Yéremy Pino","2002-10-20","23","4","Crystal Palace"
"","12","DF","Pedro Porro","1999-09-13","18","0","Tottenham Hotspur"
"","13","GK","Joan Garcia","2001-05-04","2","0","Barcelona"
"","14","DF","Aymeric Laporte","1994-05-27","46","2","Athletic Bilbao"
"","15","MF","Álex Baena","2001-07-20","17","2","Atlético Madrid"
"","16","MF","Rodri (Captain)","1996-06-22","62","4","Manchester City"
"","17","FW","Nico Williams","2002-07-12","30","6","Athletic Bilbao"
"","18","MF","Martín Zubimendi","1999-02-02","26","3","Arsenal"
"","19","FW","Lamine Yamal","2007-07-13","25","6","Barcelona"
"","20","MF","Pedri","2002-11-25","41","6","Barcelona"
"","21","FW","Mikel Oyarzabal","1997-04-21","53","25","Real Sociedad"
"","22","DF","Pau Cubarsí","2007-01-22","12","0","Barcelona"
"","23","GK","Unai Simón","1997-06-11","58","0","Athletic Bilbao"
"","24","DF","Marc Cucurella","1998-07-22","24","1","Chelsea"
"","25","FW","Víctor Muñoz","2003-07-13","2","1","Osasuna"
"","26","FW","Borja Iglesias","1993-01-17","8","0","Celta Vigo"
