"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Jacob Widell Zetterström","1998-07-11","3","0","Derby County"
"","2","DF","Gustaf Lagerbielke","2000-04-10","11","2","Braga"
"","3","DF","Victor Lindelöf (Captain)","1994-07-17","76","3","Aston Villa"
"","4","DF","Isak Hien","1999-01-13","29","0","Atalanta"
"","5","DF","Gabriel Gudmundsson","1999-04-29","24","0","Leeds United"
"","6","DF","Herman Johansson","1997-10-16","3","0","FC Dallas"
"","7","MF","Lucas Bergvall","2006-02-02","10","0","Tottenham Hotspur"
"","8","DF","Daniel Svensson","2002-02-12","13","0","Borussia Dortmund"
"","9","FW","Alexander Isak","1999-09-21","58","17","Liverpool"
"","10","MF","Benjamin Nygren","2001-07-08","11","3","Celtic"
"","11","FW","Anthony Elanga","2002-04-27","30","6","Newcastle United"
"","12","GK","Viktor Johansson","1998-09-14","12","0","Stoke City"
"","13","MF","Ken Sema","1993-09-30","33","5","Pafos"
"","14","DF","Hjalmar Ekdal","1998-10-21","13","0","Burnley"
"","15","DF","Carl Starfelt","1995-06-01","18","0","Celta Vigo"
"","16","MF","Jesper Karlström","1995-06-21","25","0","Udinese"
"","17","FW","Viktor Gyökeres","1998-06-04","33","20","Arsenal"
"","18","MF","Yasin Ayari","2003-10-06","21","3","Brighton & Hove Albion"
"","19","MF","Mattias Svanberg","1999-01-05","41","2","VfL Wolfsburg"
"","20","DF","Eric Smith","1997-01-08","2","0","FC St. Pauli"
"","21","DF","Alexander Bernhardsson","1998-09-08","11","0","Holstein Kiel"
"","22","MF","Besfort Zeneli","2002-11-21","8","0","Union Saint-Gilloise"
"","23","GK","Kristoffer Nordfeldt","1989-06-23","21","0","AIK"
"","24","DF","Elliot Stroud","2002-06-22","1","0","Mjällby AIF"
"","25","FW","Gustaf Nilsson","1997-05-23","10","4","Club Brugge"
"","26","FW","Taha Ali","1998-07-01","2","0","Malmö FF"
