"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Gregor Kobel","1997-12-06","21","0","Borussia Dortmund"
"","2","DF","Miro Muheim","1998-03-24","10","0","Hamburger SV"
"","3","DF","Silvan Widmer","1993-03-05","60","5","Mainz 05"
"","4","DF","Nico Elvedi","1996-09-30","67","3","Borussia Mönchengladbach"
"","5","DF","Manuel Akanji","1995-07-19","81","4","Inter Milan"
"","6","MF","Denis Zakaria","1996-11-20","65","3","Monaco"
"","7","FW","Breel Embolo","1997-02-14","86","24","Rennes"
"","8","MF","Remo Freuler","1992-04-15","88","11","Bologna"
"","9","MF","Johan Manzambi","2005-10-14","12","3","SC Freiburg"
"","10","MF","Granit Xhaka (Captain)","1992-09-27","146","17","Sunderland"
"","11","FW","Dan Ndoye","2000-10-25","31","8","Nottingham Forest"
"","12","GK","Yvon Mvogo","1994-06-06","13","0","Lorient"
"","13","DF","Ricardo Rodriguez","1992-08-25","138","9","Real Betis"
"","14","MF","Ardon Jashari","2002-07-30","8","0","Milan"
"","15","MF","Djibril Sow","1997-02-06","52","0","Sevilla"
"","16","FW","Christian Fassnacht","1993-11-11","23","5","Young Boys"
"","17","FW","Rubén Vargas","1998-08-05","61","11","Sevilla"
"","18","DF","Eray Cömert","1998-02-04","22","0","Valencia"
"","19","FW","Noah Okafor","2000-05-24","25","2","Leeds United"
"","20","MF","Michel Aebischer","1997-01-06","40","2","Pisa"
"","21","GK","Marvin Keller","2002-07-03","1","0","Young Boys"
"","22","MF","Fabian Rieder","2002-02-16","28","1","FC Augsburg"
"","23","FW","Zeki Amdouni","2000-12-04","29","11","Burnley"
"","24","DF","Aurèle Amenda","2003-07-31","7","0","Eintracht Frankfurt"
"","25","DF","Luca Jaquez","2003-06-02","3","0","VfB Stuttgart"
"","26","FW","Cedric Itten","1996-12-27","15","5","Fortuna Düsseldorf"
