"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Mouhib Chamakh","2001-08-25","3","0","Club Africain"
"","2","DF","Ali Abdi","1993-12-20","46","7","Nice"
"","3","DF","Montassar Talbi","1998-05-26","64","4","Lorient"
"","4","DF","Omar Rekik","2001-12-20","6","0","Maribor"
"","5","DF","Adem Arous","2004-07-17","2","0","Kasımpaşa"
"","6","DF","Dylan Bronn","1995-06-19","52","2","Servette"
"","7","FW","Elias Achouri","1999-02-10","30","4","Copenhagen"
"","8","FW","Elias Saad","1999-12-27","15","4","Hannover 96"
"","9","FW","Hazem Mastouri","1997-06-18","19","4","Dynamo Makhachkala"
"","10","MF","Hannibal Mejbri","2003-01-21","45","1","Burnley"
"","11","MF","Ismaël Gharbi","2004-04-10","17","2","FC Augsburg"
"","12","DF","Mortadha Ben Ouanes","1994-07-02","18","0","Kasımpaşa"
"","13","MF","Rani Khedira","1994-01-27","3","0","Union Berlin"
"","14","MF","Khalil Ayari","2005-02-02","4","0","Paris Saint-Germain"
"","15","MF","Hadj Mahmoud","2000-04-24","9","0","Lugano"
"","16","GK","Aymen Dahmen","1997-01-28","37","0","CS Sfaxien"
"","17","MF","Ellyes Skhiri (Captain)","1995-05-10","83","4","Eintracht Frankfurt"
"","18","FW","Rayan Elloumi","2007-09-17","4","0","Vancouver Whitecaps FC"
"","19","FW","Firas Chaouat","1996-05-08","30","6","Club Africain"
"","20","DF","Yan Valery","1999-02-22","22","0","Young Boys"
"","21","DF","Mohamed Amine Ben Hamida","1995-12-15","13","0","Espérance de Tunis"
"","22","GK","Sabri Ben Hessen","1996-06-13","2","0","Étoile du Sahel"
"","23","DF","Moutaz Neffati","2004-09-04","5","0","IFK Norrköping"
"","24","DF","Raed Chikhaoui","2004-06-09","0","0","US Monastir"
"","25","MF","Anis Ben Slimane","2001-03-16","41","4","Norwich City"
"","26","MF","Sebastian Tounekti","2002-07-13","12","1","Celtic"
