"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Mert Günok","1989-03-01","37","0","Fenerbahçe"
"","2","DF","Zeki Çelik","1997-02-17","61","3","Roma"
"","3","DF","Merih Demiral","1998-03-05","62","6","Al-Ahli"
"","4","DF","Çağlar Söyüncü","1996-05-23","60","2","Fenerbahçe"
"","5","MF","Salih Özcan","1998-01-11","30","1","Borussia Dortmund"
"","6","MF","Orkun Kökçü","2000-12-29","50","4","Beşiktaş"
"","7","FW","Kerem Aktürkoğlu","1998-10-21","52","15","Fenerbahçe"
"","8","FW","Arda Güler","2005-02-25","29","6","Real Madrid"
"","9","FW","Deniz Gül","2004-07-02","8","2","Porto"
"","10","MF","Hakan Çalhanoğlu (Captain)","1994-02-08","105","22","Inter Milan"
"","11","FW","Kenan Yıldız","2005-05-04","28","5","Juventus"
"","12","GK","Altay Bayındır","1998-04-14","12","0","Manchester United"
"","13","DF","Eren Elmalı","2000-07-07","23","0","Galatasaray"
"","14","DF","Abdülkerim Bardakcı","1994-09-07","27","2","Galatasaray"
"","15","DF","Ozan Kabak","2000-03-25","30","2","TSG Hoffenheim"
"","16","MF","İsmail Yüksek","1999-01-26","32","1","Fenerbahçe"
"","17","FW","İrfan Can Kahveci","1995-07-15","47","6","Kasımpaşa"
"","18","DF","Mert Müldür","1999-04-03","45","3","Fenerbahçe"
"","19","FW","Yunus Akgün","2000-07-07","19","4","Galatasaray"
"","20","DF","Ferdi Kadıoğlu","1999-10-07","30","2","Brighton & Hove Albion"
"","21","FW","Barış Alper Yılmaz","2000-05-23","35","4","Galatasaray"
"","22","MF","Kaan Ayhan","1994-11-10","73","5","Galatasaray"
"","23","GK","Uğurcan Çakır","1996-04-05","39","0","Galatasaray"
"","24","FW","Oğuz Aydın","2000-10-27","11","0","Fenerbahçe"
"","25","DF","Samet Akaydin","1994-03-13","19","1","Çaykur Rizespor"
"","26","FW","Can Uzun","2005-11-11","6","1","Eintracht Frankfurt"
