"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Matt Turner","","54","0","New England Revolution"
"","2","DF","Sergiño Dest","","39","3","PSV Eindhoven"
"","3","DF","Chris Richards","","36","3","Crystal Palace"
"","4","MF","Tyler Adams","","54","2","Bournemouth"
"","5","DF","Antonee Robinson","","54","5","Fulham"
"","6","DF","Auston Trusty","","8","0","Celtic"
"","7","MF","Giovanni Reyna","","38","9","Borussia Mönchengladbach"
"","8","MF","Weston McKennie","","66","12","Juventus"
"","9","FW","Ricardo Pepi","","37","13","PSV Eindhoven"
"","10","FW","Christian Pulisic","","86","33","Milan"
"","11","FW","Brenden Aaronson","","58","9","Leeds United"
"","12","DF","Miles Robinson","","40","3","FC Cincinnati"
"","13","DF","Tim Ream (Captain)","","82","1","Charlotte FC"
"","14","MF","Sebastian Berhalter","","13","1","Vancouver Whitecaps FC"
"","15","MF","Cristian Roldan","","47","0","Seattle Sounders FC"
"","16","DF","Alex Freeman","","17","2","Villarreal"
"","17","MF","Malik Tillman","","30","3","Bayer Leverkusen"
"","18","DF","Max Arfsten","","20","1","Columbus Crew"
"","19","FW","Haji Wright","","20","7","Coventry City"
"","20","FW","Folarin Balogun","","27","9","Monaco"
"","21","FW","Timothy Weah","","51","7","Marseille"
"","22","DF","Mark McKenzie","","29","0","Toulouse"
"","23","DF","Joe Scally","","26","0","Borussia Mönchengladbach"
"","24","GK","Matt Freese","","15","0","New York City FC"
"","25","GK","Chris Brady","","1","0","Chicago Fire FC"
"","26","FW","Alejandro Zendejas","","14","2","América"
