"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Sergio Rochet","1993-03-23","35","0","Internacional"
"","2","DF","José María Giménez (Captain)","1995-01-20","99","8","Atlético Madrid"
"","3","DF","Sebastián Cáceres","1999-08-18","24","0","América"
"","4","DF","Ronald Araújo","1999-03-07","27","1","Barcelona"
"","5","MF","Manuel Ugarte","2001-04-11","36","1","Manchester United"
"","6","MF","Rodrigo Bentancur","1997-06-25","74","3","Tottenham Hotspur"
"","7","MF","Nicolás de la Cruz","1997-06-01","34","5","Flamengo"
"","8","MF","Federico Valverde","1998-07-22","73","9","Real Madrid"
"","9","FW","Darwin Núñez","1999-06-24","38","13","Al-Hilal"
"","10","MF","Giorgian de Arrascaeta","1994-06-01","60","13","Flamengo"
"","11","FW","Facundo Pellistri","2001-12-20","39","2","Panathinaikos"
"","12","GK","Santiago Mele","1997-09-06","8","0","Monterrey"
"","13","DF","Guillermo Varela","1993-03-24","28","0","Flamengo"
"","14","MF","Agustín Canobbio","1998-10-01","15","1","Fluminense"
"","15","MF","Emiliano Martínez","1999-08-17","10","0","Palmeiras"
"","16","DF","Mathías Olivera","1997-10-31","35","2","Napoli"
"","17","DF","Matías Viña","1997-11-09","43","1","River Plate"
"","18","FW","Brian Rodríguez","2000-05-20","32","4","América"
"","19","FW","Rodrigo Aguirre","1994-10-01","10","3","Tigres UANL"
"","20","MF","Maximiliano Araújo","2000-02-15","28","3","Sporting CP"
"","21","FW","Federico Viñas","1998-06-30","11","2","Oviedo"
"","22","MF","Joaquín Piquerez","1998-08-24","19","0","Palmeiras"
"","23","GK","Fernando Muslera","1986-06-16","134","0","Estudiantes"
"","24","DF","Santiago Bueno","1998-11-09","8","0","Wolverhampton Wanderers"
"","25","MF","Juan Manuel Sanabria","2000-03-29","5","1","Real Salt Lake"
"","26","MF","Rodrigo Zalazar","1999-08-12","8","2","Braga"
