"","No.","Pos.","Player","Date of birth (age)","Caps","Goals","Club"
"","1","GK","Utkir Yusupov","1991-01-04","40","0","Navbahor Namangan"
"","2","DF","Abdukodir Khusanov","2004-02-29","27","0","Manchester City"
"","3","DF","Khojiakbar Alijonov","1997-04-19","40","2","Pakhtakor"
"","4","DF","Farrukh Sayfiev","1991-01-17","46","1","Neftchi Fergana"
"","5","DF","Rustam Ashurmatov","1996-07-07","49","1","Esteghlal"
"","6","MF","Akmal Mozgovoy","1999-04-02","25","1","Pakhtakor"
"","7","MF","Otabek Shukurov","1996-06-22","84","9","Baniyas"
"","8","MF","Jamshid Iskanderov","1993-10-16","38","4","Neftchi Fergana"
"","9","MF","Odiljon Hamrobekov","1996-02-13","72","1","Tractor"
"","10","MF","Ruslanbek Jiyanov","2001-06-05","5","0","Navbahor Namangan"
"","11","MF","Oston Urunov","2000-12-19","42","10","Persepolis"
"","12","GK","Abduvohid Nematov","2001-03-20","8","0","Nasaf"
"","13","DF","Sherzod Nasrullaev","1998-07-23","31","2","Nasaf"
"","14","FW","Eldor Shomurodov (Captain)","1995-06-29","92","44","İstanbul Başakşehir"
"","15","DF","Umar Eshmurodov","1992-11-30","29","0","Nasaf"
"","16","GK","Botirali Ergashev","1995-06-23","2","0","Neftchi Fergana"
"","17","MF","Dostonbek Khamdamov","1996-07-24","34","5","Pakhtakor"
"","18","DF","Abdulla Abdullaev","1997-09-01","17","0","Dibba"
"","19","MF","Azizjon Ganiev","1998-02-22","19","0","Al Bataeh"
"","20","FW","Azizbek Amonov","1997-10-30","12","2","Dinamo Samarqand"
"","21","FW","Igor Sergeev","1993-04-30","83","25","Persepolis"
"","22","MF","Abbosbek Fayzullaev","2003-10-03","32","9","İstanbul Başakşehir"
"","23","MF","Sherzod Esanov","2003-02-01","1","0","Bukhara"
"","24","DF","Bekhruz Karimov","2007-08-07","2","0","Surkhon Termiz"
"","25","DF","Avazbek Ulmasaliev","2000-03-27","0","0","AGMK"
"","26","DF","Jakhongir Urozov","2004-01-18","4","0","Dinamo Samarqand"
